// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月３１日(日)
<0003> １０月３１日(日)

// <0004> 見知らぬ森には、得体の知れない深みがある。
<0004> 見知らぬ森には、得体の知れない深みがある。

// <0005> 存在感のある太い木々、樹冠を透けてくるまばらな陽光、苔むした岩、湿った地面。
<0005> 存在感のある太い木々、樹冠を透けてくるまばらな陽光、苔むした岩、湿った地面。

// <0006> 大自然という言葉には、豊かでおおらかで優しいイメージがある。
<0006> 大自然という言葉には、豊かでおおらかで優しいイメージがある。

// <0007> 実際に踏み入ってみると、印象の違いに誰もが驚く。
<0007> 実際に踏み入ってみると、印象の違いに誰もが驚く。

// <0008> 豊かではあっても優しさなどは微塵もないためだ。
<0008> 豊かではあっても優しさなどは微塵もないためだ。

// <0009> おどろおどろしく、薄暗く、冷たく、よそよそしく、そして残酷さを秘めた無関心さを強く感じた。
<0009> おどろおどろしく、薄暗く、冷たく、よそよそしく、そして残酷さを秘めた無関心さを強く感じた。

// <0010> 残酷さを秘めた無関心、とは、要するに虎視眈々と狙っているということ。
<0010> 残酷さを秘めた無関心、とは、要するに虎視眈々と狙っているということ。

// <0011> 森はいつでも養分が欲しい。
<0011> 森はいつでも養分が欲しい。

// <0012> だから死体が欲しい。
<0012> だから死体が欲しい。

// <0013> 森に迷い込んだ者を、すぐにでも死体にしたい。
<0013> 森に迷い込んだ者を、すぐにでも死体にしたい。

// <0014> だけどそんな素振りは少しも見せない。
<0014> だけどそんな素振りは少しも見せない。

// <0015> 奥深くまで迷い人を誘い込むために。
<0015> 奥深くまで迷い人を誘い込むために。

// <0016> 大自然の両腕に包まれた時の感想は、だいたい以上のようなものだ。
<0016> 大自然の両腕に包まれた時の感想は、だいたい以上のようなものだ。

// <0017> 歩き慣れた森なら、ここまで怯えることはないのだが…
<0017> 歩き慣れた森なら、ここまで怯えることはないのだが…

// <0018> 大蛇がいるとして、それはあるいは、森の敵意の化身なのかも知れないと感じた。
<0018> 大蛇がいるとして、それはあるいは、森の敵意の化身なのかも知れないと感じた。

// <0019> だからひとりで来た。
<0019> だからひとりで来た。

// <0020> 少しだけ歩いて、マッピーを立ち上げる。
<0020> 少しだけ歩いて、マッピーを立ち上げる。

// <0021> ヘルプコマンドから接続走査を実行し、正常に機能していることを入念に確かめる。
<0021> ヘルプコマンドから接続走査を実行し、正常に機能していることを入念に確かめる。

// <0022> 三度確認して、やっと安心できる。
<0022> 三度確認して、やっと安心できる。

// <0023> 一応コンパスや地図は持参してきた。
<0023> 一応コンパスや地図は持参してきた。

// <0024> 食糧、水も忘れていない。
<0024> 食糧、水も忘れていない。

// <0025> 緊急食として板チョコ三枚をデイバッグに忍ばせてある。
<0025> 緊急食として板チョコ三枚をデイバッグに忍ばせてある。

// <0026> けどやっぱり命綱は携帯だ。
<0026> けどやっぱり命綱は携帯だ。

// <0027> いざという時でも、携帯があればなんとかなるものだ。
<0027> いざという時でも、携帯があればなんとかなるものだ。

// <0028> 充電池もちゃんと持ってきている。
<0028> 充電池もちゃんと持ってきている。

// <0029> 瑚太朗
<0029> 瑚太朗

// <0030> 「ポイントＡだな」
<0030> 「ポイントＡだな」

// <0031> マップ上で、そこを基点に定める。
<0031> マップ上で、そこを基点に定める。

// <0032> ケミカルライトのスティックを折って、見晴らしの良い地面に突き刺す。
<0032> ケミカルライトのスティックを折って、見晴らしの良い地面に突き刺す。

// <0033> 化学反応が起こるまでの短い時間で、ペットボトルから水分補給をした。
<0033> 化学反応が起こるまでの短い時間で、ペットボトルから水分補給をした。

// <0034> 目線を横にずらすと、３０センチほどの何かを引きずったような跡が、奥に向かって伸びている。
<0034> 目線を横にずらすと、３０センチほどの何かを引きずったような跡が、奥に向かって伸びている。

// <0035> 用水路を出たそいつは、地面の上を這って森に去ったのだ。
<0035> 用水路を出たそいつは、地面の上を這って森に去ったのだ。

// <0036> そいつを一体どう呼ぼうか？
<0036> そいつを一体どう呼ぼうか？

// <0037> 単なる大蛇？
<0037> 単なる大蛇？

// <0038> あるいは中生代から生き残った恐竜の子孫？
<0038> あるいは中生代から生き残った恐竜の子孫？

// <0039> 正体がわからないのだ。
<0039> 正体がわからないのだ。

// <0040> だったらそれは、森の魔物だった。
<0040> だったらそれは、森の魔物だった。

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「…魔物調査団」
<0042> 「…魔物調査団」

// <0043> 口にすると、途端に嘘くさい。
<0043> 口にすると、途端に嘘くさい。

// <0044> だがまあ、怪しさも含めてオカ研だろう。
<0044> だがまあ、怪しさも含めてオカ研だろう。

// <0045> ケミカルスティックが鈍く輝きはじめた。
<0045> ケミカルスティックが鈍く輝きはじめた。

// <0046> 移動を再開することにする。
<0046> 移動を再開することにする。

// <0047> 這いずる跡が途切れた。
<0047> 這いずる跡が途切れた。

// <0048> 途中に小川があったせいだ。
<0048> 途中に小川があったせいだ。

// <0049> 幅２メートルほどのささやかな流れだが、向こう岸には跡がない。
<0049> 幅２メートルほどのささやかな流れだが、向こう岸には跡がない。

// <0050> 水の流れに乗るか逆らうかして、方向を変えたのだ。
<0050> 水の流れに乗るか逆らうかして、方向を変えたのだ。

// <0051> 焦る。
<0051> 焦る。

// <0052> ひとまずケミカルライトを設置した。
<0052> ひとまずケミカルライトを設置した。

// <0053> 上流方向か、下流方向かに沿って移動する必要があった。
<0053> 上流方向か、下流方向かに沿って移動する必要があった。

// <0054> 進むごとに川幅は増していく。
<0054> 進むごとに川幅は増していく。

// <0055> いずれどこかの川にぶち当たるのだろう。
<0055> いずれどこかの川にぶち当たるのだろう。

// <0056> 魔物は、そうした激しい水流に戻っていったのだろうか？
<0056> 魔物は、そうした激しい水流に戻っていったのだろうか？

// <0057> 水中に行かれると調査も続けようがない。
<0057> 水中に行かれると調査も続けようがない。

// <0058> 陸地に出た痕跡があったからこそ、日曜を潰してまで調査に来たのだ。
<0058> 陸地に出た痕跡があったからこそ、日曜を潰してまで調査に来たのだ。

// <0059> この手の調査は無駄骨ばかりだ。
<0059> この手の調査は無駄骨ばかりだ。

// <0060> 仲間と一緒に調査する時は、それでも良かった。
<0060> 仲間と一緒に調査する時は、それでも良かった。

// <0061> でも今日は、ひとりで来ている今日だけは、執着が捨てきれない。
<0061> でも今日は、ひとりで来ている今日だけは、執着が捨てきれない。

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「…よし」
<0063> 「…よし」

// <0064> 杞憂だった。
<0064> 杞憂だった。
