// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月２４日(日)
<0003> １０月２４日(日)

// <0004> 昼過ぎ、小鳥が訪ねてきた。
<0004> 昼過ぎ、小鳥が訪ねてきた。

// <0005> ペットを連れて。
<0005> ペットを連れて。

// <0006> 瑚太朗
<0006> 瑚太朗

// <0007> 「…これ、パンダか？」
<0007> 「…これ、パンダか？」

// <0008> 小鳥
<0008> 小鳥

// <0009> 「あに言うのさ」
<0009> 「あに言うのさ」

// <0010> 小鳥
<0010> 小鳥

// <0011> 「見ての通り、犬だけど」
<0011> 「見ての通り、犬だけど」

// <0012> 小鳥が犬と称するものを連れてきた。
<0012> 小鳥が犬と称するものを連れてきた。

// <0013> それはむくむくとしていて、丸かった。
<0013> それはむくむくとしていて、丸かった。

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「犬か…こいつが」
<0015> 「犬か…こいつが」

// <0016> 犬＿ちびもす
<0016> 犬＿ちびもす

// <0017> 「ぶっ」
<0017> 「ぶっ」

// <0018> 長毛で口が隠れているので、表情も読めない。
<0018> 長毛で口が隠れているので、表情も読めない。

// <0019> いや、そもそも犬かどうかさえ疑わしいのだ。
<0019> いや、そもそも犬かどうかさえ疑わしいのだ。

// <0020> 印象は毛玉の妖怪でしかない。
<0020> 印象は毛玉の妖怪でしかない。

// <0021> 瑚太朗
<0021> 瑚太朗

// <0022> 「犬種は？」
<0022> 「犬種は？」

// <0023> 小鳥
<0023> 小鳥

// <0024> 「わかんない。森でひろった」
<0024> 「わかんない。森でひろった」

// <0025> なぜそれで犬と断じられる…
<0025> なぜそれで犬と断じられる…

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「セーターとかにつく毛玉が進化したらこんな感じの生き物になりそうだな」
<0027> 「セーターとかにつく毛玉が進化したらこんな感じの生き物になりそうだな」

// <0028> 小鳥
<0028> 小鳥

// <0029> 「犬だってば」
<0029> 「犬だってば」

// <0030> 瑚太朗
<0030> 瑚太朗

// <0031> 「見えない…」
<0031> 「見えない…」

// <0032> 犬と言い切られれば犬にも見えてくるが…
<0032> 犬と言い切られれば犬にも見えてくるが…

// <0033> 部活が本格化するのと同時に女子率も高まり（俺はハーレム率と内心呼んでいる）、危険な場所に行くことも増えることが予想された。
<0033> 部活が本格化するのと同時に女子率も高まり（俺はハーレム率と内心呼んでいる）、危険な場所に行くことも増えることが予想された。

// <0034> するとある時小鳥が言った。
<0034> するとある時小鳥が言った。

// <0035> 小鳥
<0035> 小鳥

// <0036> 『ボディーガードがいるね』
<0036> 『ボディーガードがいるね』

// <0037> 男手が俺ひとりというのは、確かに不安材料だろう。
<0037> 男手が俺ひとりというのは、確かに不安材料だろう。

// <0038> 吉野が加わってくれればいいのだが、ヤツにその意思がないことは明らかだ。
<0038> 吉野が加わってくれればいいのだが、ヤツにその意思がないことは明らかだ。

// <0039> 護衛問題は長らく棚上げされてきた。
<0039> 護衛問題は長らく棚上げされてきた。

// <0040> そのアンサーが、こいつらしい。
<0040> そのアンサーが、こいつらしい。

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「名前は？」
<0042> 「名前は？」

// <0043> 小鳥
<0043> 小鳥

// <0044> 「ちびもす」
<0044> 「ちびもす」

// <0045> 瑚太朗
<0045> 瑚太朗

// <0046> 「…変な名前だ」
<0046> 「…変な名前だ」

// <0047> 瑚太朗
<0047> 瑚太朗

// <0048> 「ボディーガードってことは強いの？」
<0048> 「ボディーガードってことは強いの？」

// <0049> 小鳥
<0049> 小鳥

// <0050> 「うん、さいきょう」
<0050> 「うん、さいきょう」

// <0051> 瑚太朗
<0051> 瑚太朗

// <0052> 「本当っすかね…」
<0052> 「本当っすかね…」

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「最強っていうのもまたずさんな表現だな」
<0054> 「最強っていうのもまたずさんな表現だな」

// <0055> 小鳥
<0055> 小鳥

// <0056> 「すくなくとも吉野君よりかは強いよ」
<0056> 「すくなくとも吉野君よりかは強いよ」

// <0057> 哀れ吉野…
<0057> 哀れ吉野…

// <0058> 瑚太朗
<0058> 瑚太朗

// <0059> 「吉野はさ、あれはあれでけっこう強いんだ」
<0059> 「吉野はさ、あれはあれでけっこう強いんだ」

// <0060> 小鳥
<0060> 小鳥

// <0061> 「この子、３ヨシノくらいの強さ」
<0061> 「この子、３ヨシノくらいの強さ」

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「３倍ってことか？　それはさすがにないわ」
<0063> 「３倍ってことか？　それはさすがにないわ」

// <0064> 小鳥
<0064> 小鳥

// <0065> 「試してみる？」
<0065> 「試してみる？」

// <0066> 小鳥
<0066> 小鳥

// <0067> 「パンチとかしてもいいよ」
<0067> 「パンチとかしてもいいよ」

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「いや、あんま動物とか殴ったりしたくないし…」
<0069> 「いや、あんま動物とか殴ったりしたくないし…」

// <0070> 瑚太朗
<0070> 瑚太朗

// <0071> 「だいたい、犬かどうかはともかく愛玩動物じゃん、見た目」
<0071> 「だいたい、犬かどうかはともかく愛玩動物じゃん、見た目」

// <0072> 小鳥
<0072> 小鳥

// <0073> 「ちびもす、ちょっぴりがんばる」
<0073> 「ちびもす、ちょっぴりがんばる」

// <0074> ちびもす
<0074> ちびもす

// <0075> 「ぶっ」
<0075> 「ぶっ」

// <0076> ぎゅるるるるるるっ
<0076> ぎゅるるるるるるっ

// <0077> 無言無表情のまま、俺は宙を舞った。
<0077> 無言無表情のまま、俺は宙を舞った。

// <0078> 瑚太朗
<0078> 瑚太朗

// <0079> 「………………」
<0079> 「………………」

// <0080> 「ぎゃー」とか「ぐわぁ」とか、ギャグっぽい悲鳴をあげる余裕もない。
<0080> 「ぎゃー」とか「ぐわぁ」とか、ギャグっぽい悲鳴をあげる余裕もない。

// <0081> ビル破壊に使う巨大鉄球を腹に叩き込まれたら、きっと誰でもこうなる。
<0081> ビル破壊に使う巨大鉄球を腹に叩き込まれたら、きっと誰でもこうなる。

// <0082> 瑚太朗
<0082> 瑚太朗

// <0083> 「………………」
<0083> 「………………」

// <0084> 地面に伏して、全身をピクつかせた。
<0084> 地面に伏して、全身をピクつかせた。

// <0085> 小鳥
<0085> 小鳥

// <0086> 「３ヨシノ」
<0086> 「３ヨシノ」

// <0087> 俺を冷たい目で見下ろしながら、小鳥が傲然と繰り返した。
<0087> 俺を冷たい目で見下ろしながら、小鳥が傲然と繰り返した。

// <0088> 瑚太朗
<0088> 瑚太朗

// <0089> 「１０ヨシノくらいあったわ！」
<0089> 「１０ヨシノくらいあったわ！」

// <0090> 飛び起きて詰め寄る。
<0090> 飛び起きて詰め寄る。

// <0091> 小鳥
<0091> 小鳥
