// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １１月８日(月)
<0003> １１月８日(月)

// <0004> 
<0004> 

// <0005> 小鳥
<0005> 小鳥

// <0006> 「で、どうなったのさ」
<0006> 「で、どうなったのさ」

// <0007> 今日は静流とルチアが欠席。
<0007> 今日は静流とルチアが欠席。

// <0008> 必然的に部室で談義するだけとなっていた。
<0008> 必然的に部室で談義するだけとなっていた。

// <0009> 瑚太朗
<0009> 瑚太朗

// <0010> 「ガチでラブラブッス」
<0010> 「ガチでラブラブッス」

// <0011> ちはや
<0011> ちはや

// <0012> 「え、ほ、ホントですか」
<0012> 「え、ほ、ホントですか」

// <0013> 瑚太朗
<0013> 瑚太朗

// <0014> 「ホントッス」
<0014> 「ホントッス」

// <0015> 朱音
<0015> 朱音

// <0016> 「ほー」
<0016> 「ほー」

// <0017> 朱音
<0017> 朱音

// <0018> 「先生同伴で上手く行くものなのね」
<0018> 「先生同伴で上手く行くものなのね」

// <0019> 小鳥
<0019> 小鳥

// <0020> 「え、同伴？」
<0020> 「え、同伴？」

// <0021> 朱音
<0021> 朱音

// <0022> 「西九条先生の車で出て行く二人の目撃情報がちらほら」
<0022> 「西九条先生の車で出て行く二人の目撃情報がちらほら」

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「会長、校内の何でも情報握ってるんすね…」
<0024> 「会長、校内の何でも情報握ってるんすね…」

// <0025> 朱音
<0025> 朱音

// <0026> 「早朝に一年女子の後ろでアシュラマンやっている、怪しい男子の目撃情報もあったわよ」
<0026> 「早朝に一年女子の後ろでアシュラマンやっている、怪しい男子の目撃情報もあったわよ」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「うわあ知られてる」
<0028> 「うわあ知られてる」

// <0029> ちはや
<0029> ちはや

// <0030> 「なんか急に瑚太朗の話が信用できなくなってきましたねえ…」
<0030> 「なんか急に瑚太朗の話が信用できなくなってきましたねえ…」

// <0031> 瑚太朗
<0031> 瑚太朗

// <0032> 「別にお前に信用される必要もないし、俺が本当のこと言う義務もないし」
<0032> 「別にお前に信用される必要もないし、俺が本当のこと言う義務もないし」

// <0033> ちはや
<0033> ちはや

// <0034> 「な、なんですそれ…聞いてるんだから答えてくれてもいいじゃないですか」
<0034> 「な、なんですそれ…聞いてるんだから答えてくれてもいいじゃないですか」

// <0035> 瑚太朗
<0035> 瑚太朗

// <0036> 「信用してくれない人は俺も信用しない」
<0036> 「信用してくれない人は俺も信用しない」

// <0037> ちはや
<0037> ちはや

// <0038> 「えー」
<0038> 「えー」

// <0039> 小鳥
<0039> 小鳥

// <0040> 「で、本当のところは？」
<0040> 「で、本当のところは？」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「ラブラブッス」
<0042> 「ラブラブッス」

// <0043> ちはや
<0043> ちはや

// <0044> 「信頼感の差が…」
<0044> 「信頼感の差が…」

// <0045> 朱音
<0045> 朱音

// <0046> 「大体あなたは隠し事に向かないもの。話す気にはならないわね」
<0046> 「大体あなたは隠し事に向かないもの。話す気にはならないわね」

// <0047> ちはや
<0047> ちはや

// <0048> 「な、何ですかっ！　口は堅いですよっ！」
<0048> 「な、何ですかっ！　口は堅いですよっ！」

// <0049> 朱音
<0049> 朱音

// <0050> 「口は堅くてもうっかり漏れるから」
<0050> 「口は堅くてもうっかり漏れるから」

// <0051> ちはや
<0051> ちはや

// <0052> 「うっかり…」
<0052> 「うっかり…」

// <0053> 小鳥
<0053> 小鳥

// <0054> 「…そっかー」
<0054> 「…そっかー」

// <0055> 朱音
<0055> 朱音

// <0056> 「それにしても、何故西九条先生？」
<0056> 「それにしても、何故西九条先生？」

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「え？」
<0058> 「え？」

// <0059> 朱音
<0059> 朱音

// <0060> 「前々から気になってたけど、あの人と欠席組の二人はいつから仲が良いのかしら」
<0060> 「前々から気になってたけど、あの人と欠席組の二人はいつから仲が良いのかしら」

// <0061> 瑚太朗
<0061> 瑚太朗

// <0062> 「え、いや…」
<0062> 「え、いや…」

// <0063> …知らないのか？
<0063> …知らないのか？

// <0064> 瑚太朗
<0064> 瑚太朗

// <0065> 「その辺の素行調査は」
<0065> 「その辺の素行調査は」

// <0066> 朱音
<0066> 朱音

// <0067> 「別に興味ないし」
<0067> 「別に興味ないし」

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「あ、でもさ、なんか教員とかの裏取るのに極秘資料とか」
<0069> 「あ、でもさ、なんか教員とかの裏取るのに極秘資料とか」

// <0070> 朱音
<0070> 朱音

// <0071> 「あるけど、別に不審な点はなかったわ」
<0071> 「あるけど、別に不審な点はなかったわ」

// <0072> 瑚太朗
<0072> 瑚太朗

// <0073> 「………」
<0073> 「………」

// <0074> …どういうことだ？
<0074> …どういうことだ？

// <0075> 魔女様データライブラリなら、西九条先生の素性なんかも余裕で記載されてそうなのに。
<0075> 魔女様データライブラリなら、西九条先生の素性なんかも余裕で記載されてそうなのに。

// <0076> 瑚太朗
<0076> 瑚太朗

// <0077> 「え、そういうのないの？」
<0077> 「え、そういうのないの？」

// <0078> 朱音
<0078> 朱音

// <0079> 「ちゃんと見ればあると思うけど」
<0079> 「ちゃんと見ればあると思うけど」

// <0080> 小鳥
<0080> 小鳥

// <0081> 「…ちなみにあたくしたちの素性なんかも全部ファイリング？」
<0081> 「…ちなみにあたくしたちの素性なんかも全部ファイリング？」

// <0082> 朱音
<0082> 朱音

// <0083> 「中学の内申から、傍目にわかる暮らしぶり程度までは網羅してるわね」
<0083> 「中学の内申から、傍目にわかる暮らしぶり程度までは網羅してるわね」

// <0084> 小鳥
<0084> 小鳥

// <0085> 「うわあっ、じゃあ成績も筒抜けっ」
<0085> 「うわあっ、じゃあ成績も筒抜けっ」

// <0086> 瑚太朗
<0086> 瑚太朗

// <0087> 「別にそんなの恥ずかしがることでもないだろ」
<0087> 「別にそんなの恥ずかしがることでもないだろ」

// <0088> 小鳥
<0088> 小鳥

