// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １１月１３日(土)
<0003> １１月１３日(土)

// <0004> 早朝、授業には出ず、直接部室に集まった。
<0004> 早朝、授業には出ず、直接部室に集まった。

// <0005> 悠長なことを言っていたら、時間は確実に足りなくなる。
<0005> 悠長なことを言っていたら、時間は確実に足りなくなる。

// <0006> サボる形にはなるが、この事態だ。委員長も渋々ながら納得してくれた。
<0006> サボる形にはなるが、この事態だ。委員長も渋々ながら納得してくれた。

// <0007> 瑚太朗
<0007> 瑚太朗

// <0008> 「計画、立ててきました」
<0008> 「計画、立ててきました」

// <0009> 会長のデスクトップマシンのモニターに、準備してきたノーパソのデータを表示する。
<0009> 会長のデスクトップマシンのモニターに、準備してきたノーパソのデータを表示する。

// <0010> 付近の原生林地帯の地図だ。
<0010> 付近の原生林地帯の地図だ。

// <0011> 瑚太朗
<0011> 瑚太朗

// <0012> 「じゃ説明するな」
<0012> 「じゃ説明するな」

// <0013> 瑚太朗
<0013> 瑚太朗

// <0014> 「今回は行方不明の井上を探す」
<0014> 「今回は行方不明の井上を探す」

// <0015> 瑚太朗
<0015> 瑚太朗

// <0016> 「あいつが危険な取材に出たのは、俺との絡みが原因と言えなくもないし……」
<0016> 「あいつが危険な取材に出たのは、俺との絡みが原因と言えなくもないし……」

// <0017> 瑚太朗
<0017> 瑚太朗

// <0018> 「そういうことで、正式な活動じゃないけど、皆の力も借りたい」
<0018> 「そういうことで、正式な活動じゃないけど、皆の力も借りたい」

// <0019> 集まった全員が、反対の声をあげなかった。
<0019> 集まった全員が、反対の声をあげなかった。

// <0020> むしろ、俺でさえ違和感を覚えるほどに平然としている。
<0020> むしろ、俺でさえ違和感を覚えるほどに平然としている。

// <0021> まるで、こんなことは慣れっこだといわんばかりに…
<0021> まるで、こんなことは慣れっこだといわんばかりに…

// <0022> 瑚太朗
<0022> 瑚太朗

