// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> ちはや
<0003> ちはや

// <0004> ひとつ、有り触れた話を思い出したんだ。
<0004> ひとつ、有り触れた話を思い出したんだ。

// <0005> 街を歩いてるとき、親子二人とすれ違った。
<0005> 街を歩いてるとき、親子二人とすれ違った。

// <0006> 数歩過ぎた後、後ろから女の子の泣き声がした。
<0006> 数歩過ぎた後、後ろから女の子の泣き声がした。

// <0007> …振り返ると、女の子は地面に前のめりに倒れていた。
<0007> …振り返ると、女の子は地面に前のめりに倒れていた。

// <0008> 泣き声は大きくなる。
<0008> 泣き声は大きくなる。

// <0009> けど、父親はそれを眺めているだけだった。
<0009> けど、父親はそれを眺めているだけだった。

// <0010> ぐずっている女の子。
<0010> ぐずっている女の子。

// <0011> …でも、やがて立ち上がって父親の手を握った。
<0011> …でも、やがて立ち上がって父親の手を握った。

// <0012> そこで父親はしゃがみこみ、笑顔で言うんだ。
<0012> そこで父親はしゃがみこみ、笑顔で言うんだ。

// <0013> 『一人で立ち上がれたね。偉かったよ』
<0013> 『一人で立ち上がれたね。偉かったよ』

// <0014> 親子は手をつなぎ、そのまま歩いていった。
<0014> 親子は手をつなぎ、そのまま歩いていった。

// <0015> 女の子も笑顔になっていた。
<0015> 女の子も笑顔になっていた。

// <0016> …ねえ。
<0016> …ねえ。

// <0017> 俺たちは、
<0017> 俺たちは、

// <0018> なんで試練が無いと、
<0018> なんで試練が無いと、

// <0019> 成長も出来ないんだろうね。
<0019> 成長も出来ないんだろうね。

// <0020> 乾燥していた。
<0020> 乾燥していた。

// <0021> 目覚めた瞬間、意識が明瞭になったと同時に解るほど、空気が乾いていた。
<0021> 目覚めた瞬間、意識が明瞭になったと同時に解るほど、空気が乾いていた。

// <0022> 鼻の穴がかさかさしている。
<0022> 鼻の穴がかさかさしている。

// <0023> 喉がいがらっぽい。
<0023> 喉がいがらっぽい。

// <0024> 瑚太朗
<0024> 瑚太朗

// <0025> 「………」
<0025> 「………」

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「…ぐずっ」
<0027> 「…ぐずっ」

// <0028> 鼻の奥では、糊化した鼻水が空気の通行を妨げていた。
<0028> 鼻の奥では、糊化した鼻水が空気の通行を妨げていた。

// <0029> 要は、最悪の目覚めだった。
<0029> 要は、最悪の目覚めだった。

// <0030> 瑚太朗
<0030> 瑚太朗

// <0031> 「…どーしてさー…」
<0031> 「…どーしてさー…」

// <0032> 瑚太朗
<0032> 瑚太朗

// <0033> 「自分の身体でも、意思と無関係に動くことってあるのかねー…」
<0033> 「自分の身体でも、意思と無関係に動くことってあるのかねー…」

// <0034> 俺の身体は俺のものな筈なのに。
<0034> 俺の身体は俺のものな筈なのに。

// <0035> 俺はこんなに鼻水を出したくない。でも勝手に出てくる。
<0035> 俺はこんなに鼻水を出したくない。でも勝手に出てくる。

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「じゅびっ…」
<0037> 「じゅびっ…」

// <0038> 風邪かもしれない。
<0038> 風邪かもしれない。

// <0039> 俺はティッシュに手を伸ばし、鼻を全力でかんだ。
<0039> 俺はティッシュに手を伸ばし、鼻を全力でかんだ。

// <0040> …瞬時に鼻の奥から、かなり粘度の高い鼻水が飛び出してくる。
<0040> …瞬時に鼻の奥から、かなり粘度の高い鼻水が飛び出してくる。

// <0041> 鼻は気持ちいいほどに通った。
