// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「これにしよう」
<0001> 「これにしよう」

// <0002> 瑚太朗
<0002> 瑚太朗

// <0003> 「心霊スポットねぇ…」
<0003> 「心霊スポットねぇ…」

// <0004> ま、ひとまずみんなを待とう。
<0004> ま、ひとまずみんなを待とう。

// <0005> 朱音
<0005> 朱音

// <0006> 「血文字はやんちゃなガキの落書き」
<0006> 「血文字はやんちゃなガキの落書き」

// <0007> 瑚太朗
<0007> 瑚太朗

// <0008> 「………」
<0008> 「………」

// <0009> 集まるなりげんなりさせられる。
<0009> 集まるなりげんなりさせられる。

// <0010> 朱音
<0010> 朱音

// <0011> 「死体の噂はマネキン」
<0011> 「死体の噂はマネキン」

// <0012> 瑚太朗
<0012> 瑚太朗

// <0013> 「いつもの事のように話の腰を折らんでください」
<0013> 「いつもの事のように話の腰を折らんでください」

// <0014> 小鳥
<0014> 小鳥

// <0015> 「心霊スポット、かぁ…」
<0015> 「心霊スポット、かぁ…」

// <0016> 瑚太朗
<0016> 瑚太朗

// <0017> 「ん、心当たりでも？」
<0017> 「ん、心当たりでも？」

// <0018> 小鳥
<0018> 小鳥

// <0019> 「小学校の頃、絶対に誰も近寄らない廃屋があったね」
<0019> 「小学校の頃、絶対に誰も近寄らない廃屋があったね」

// <0020> 瑚太朗
<0020> 瑚太朗

// <0021> 「うそ、どこ？」
<0021> 「うそ、どこ？」

// <0022> 小鳥
<0022> 小鳥

// <0023> 「学校の裏の林の中…」
<0023> 「学校の裏の林の中…」

// <0024> 瑚太朗
<0024> 瑚太朗

// <0025> 「…あったっけぇ？」
<0025> 「…あったっけぇ？」

// <0026> 小鳥
<0026> 小鳥

// <0027> 「思い返してみれば、いっぱい噂があったよ」
<0027> 「思い返してみれば、いっぱい噂があったよ」

// <0028> 小鳥
<0028> 小鳥

// <0029> 「化け物とか殺人鬼が住んでるとか、幽霊の声が聞こえるとか…」
<0029> 「化け物とか殺人鬼が住んでるとか、幽霊の声が聞こえるとか…」

// <0030> 瑚太朗
<0030> 瑚太朗

// <0031> 「そうだったんか…」
<0031> 「そうだったんか…」

// <0032> 怪談話とか、意外と女子のほうが好きなのかもな。
<0032> 怪談話とか、意外と女子のほうが好きなのかもな。

// <0033> 朱音
<0033> 朱音

// <0034> 「より探索の意味がなくなったわね。都市伝説の類は、大半が小学生の与太話」
<0034> 「より探索の意味がなくなったわね。都市伝説の類は、大半が小学生の与太話」

// <0035> 朱音
<0035> 朱音

// <0036> 「上半身だけの妖怪なんか、その最たるものね。元はなにがしかの創作で、後は子供たちがうろ覚えで脚色…」
<0036> 「上半身だけの妖怪なんか、その最たるものね。元はなにがしかの創作で、後は子供たちがうろ覚えで脚色…」

// <0037> 朱音
<0037> 朱音

// <0038> 「結果時速１４０キロの速度で匍匐前進してくる、なんて奇妙珍妙な設定が生まれていくのだわ」
<0038> 「結果時速１４０キロの速度で匍匐前進してくる、なんて奇妙珍妙な設定が生まれていくのだわ」

// <0039> ちはや
<0039> ちはや

// <0040> 「そんなのに追いかけられてる状態で速度なんて計ってるわけないですしねぇ」
<0040> 「そんなのに追いかけられてる状態で速度なんて計ってるわけないですしねぇ」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「馬鹿だな、車に乗ってたらスピードメーターで一発だろ」
<0042> 「馬鹿だな、車に乗ってたらスピードメーターで一発だろ」

// <0043> 朱音
<0043> 朱音

// <0044> 「ふふふ。だとしたらどれだけ強靭な体なのかしらね」
<0044> 「ふふふ。だとしたらどれだけ強靭な体なのかしらね」

// <0045> 朱音
<0045> 朱音

// <0046> 「両手だけで体引きずって動いていたら、地面に削れてなくなってしまうんじゃない？　消しゴムみたいに」
<0046> 「両手だけで体引きずって動いていたら、地面に削れてなくなってしまうんじゃない？　消しゴムみたいに」

// <0047> 瑚太朗
<0047> 瑚太朗

// <0048> 「こええこと言わんでくださいよ…」
<0048> 「こええこと言わんでくださいよ…」

// <0049> ルチア
<0049> ルチア

// <0050> 「まあ、テケテケの話はもういいだろう」
<0050> 「まあ、テケテケの話はもういいだろう」

// <0051> 朱音
<0051> 朱音

// <0052> 「そうね。心霊スポットの書き込みなら、すでにいくつか寄せられているわ」
<0052> 「そうね。心霊スポットの書き込みなら、すでにいくつか寄せられているわ」

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「あ、そういやあったな」
<0054> 「あ、そういやあったな」

// <0055> 改めてブログのコメントを見てみる。
<0055> 改めてブログのコメントを見てみる。

// <0056> 投稿者『匿名希望さん／二年ひみつ組』
<0056> 投稿者『匿名希望さん／二年ひみつ組』

// <0057> タイトル『心霊スポット』
<0057> タイトル『心霊スポット』

// <0058> ゎたレんちの近所の林にあるょ。
<0058> ゎたレんちの近所の林にあるょ。

// <0059> 聞ぃたのゎ自殺者がそこで出て閉鎖されたんだって
<0059> 聞ぃたのゎ自殺者がそこで出て閉鎖されたんだって

// <0060> 調査ょろレくね　く
<0060> 調査ょろレくね　く

// <0061> (＾o＾*)
<0061> (＾o＾*)

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「なんか『ゎ』とか見ると超イラっとこねえ？」
<0063> 「なんか『ゎ』とか見ると超イラっとこねえ？」

// <0064> 小鳥
<0064> 小鳥

// <0065> 「でも内容はまともだよ。我慢我慢」
<0065> 「でも内容はまともだよ。我慢我慢」

// <0066> 投稿者『匿名希望さん／一年ひみつ組』
<0066> 投稿者『匿名希望さん／一年ひみつ組』

// <0067> タイトル『Ｒｅ：心霊スポット』
<0067> タイトル『Ｒｅ：心霊スポット』

// <0068> 小学校の頃とか男子が噂してたの聞きました！
<0068> 小学校の頃とか男子が噂してたの聞きました！

// <0069> 壁中札が貼ってある部屋があるとか、
<0069> 壁中札が貼ってある部屋があるとか、

// <0070> 呪いの言葉が書いてあるとか・・・
<0070> 呪いの言葉が書いてあるとか・・・

// <0071> オカ研さんが調査してくれたらうれしいな。
<0071> オカ研さんが調査してくれたらうれしいな。

// <0072> 怖くて中は入れません・・・
<0072> 怖くて中は入れません・・・

// <0073> 瑚太朗
<0073> 瑚太朗

// <0074> 「ほほぅ、一年女子か」
