// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １１月７日(日)
<0003> １１月７日(日)

// <0004> 今日は電話で目が覚めた。
<0004> 今日は電話で目が覚めた。

// <0005> 瑚太朗
<0005> 瑚太朗

// <0006> 「…はい」
<0006> 「…はい」

// <0007> 井上＿電話
<0007> 井上＿電話

// <0008> 『井上だけど』
<0008> 『井上だけど』

// <0009> 瑚太朗
<0009> 瑚太朗

// <0010> 「ああ、井上君。覚えてる覚えてる、ひさしぶりじゃーん」
<0010> 「ああ、井上君。覚えてる覚えてる、ひさしぶりじゃーん」

// <0011> 井上＿電話
<0011> 井上＿電話

// <0012> 『…女だっての』
<0012> 『…女だっての』

// <0013> 井上＿電話
<0013> 井上＿電話

// <0014> 『ついこないだ話したばっかじゃないっ』
<0014> 『ついこないだ話したばっかじゃないっ』

// <0015> 瑚太朗
<0015> 瑚太朗

// <0016> 「…悪い、今思い出した。井上さんな」
<0016> 「…悪い、今思い出した。井上さんな」

// <0017> 井上＿電話
<0017> 井上＿電話

// <0018> 『忘れたならそう言ってよ…今、平然と誤魔化そうとしてたでしょ』
<0018> 『忘れたならそう言ってよ…今、平然と誤魔化そうとしてたでしょ』

// <0019> 瑚太朗
<0019> 瑚太朗

// <0020> 「寝起きでさ、悪かったよ」
<0020> 「寝起きでさ、悪かったよ」

// <0021> 井上＿電話
<0021> 井上＿電話

// <0022> 『もう１０時だよ。それより、ちょっと聞きたいんだけど』
<0022> 『もう１０時だよ。それより、ちょっと聞きたいんだけど』

// <0023> 井上＿電話
<0023> 井上＿電話

// <0024> 『オカ研って昨日、森に調査に行ったでしょう？』
<0024> 『オカ研って昨日、森に調査に行ったでしょう？』

// <0025> 瑚太朗
<0025> 瑚太朗

// <0026> 「…俺、もしかして井上に盗聴器とか仕掛けられてるのかな？　当たりだよ…」
<0026> 「…俺、もしかして井上に盗聴器とか仕掛けられてるのかな？　当たりだよ…」

// <0027> 井上＿電話
<0027> 井上＿電話

// <0028> 『そ、そんな盗聴器だなんて携帯に仕掛けたりしてないわよ？』
<0028> 『そ、そんな盗聴器だなんて携帯に仕掛けたりしてないわよ？』

// <0029> 瑚太朗
<0029> 瑚太朗

// <0030> 「携帯！」
<0030> 「携帯！」

// <0031> あとで調べなくちゃ…。
<0031> あとで調べなくちゃ…。

// <0032> 井上＿電話
<0032> 井上＿電話

// <0033> 『ねえ、それより調査ってさ、川の水質汚染の件なんじゃない？』
<0033> 『ねえ、それより調査ってさ、川の水質汚染の件なんじゃない？』

// <0034> 瑚太朗
<0034> 瑚太朗

// <0035> 「………」
<0035> 「………」

// <0036> もうこいつは魔法使いとか超能力者とか、そういう部類なんだと思うことにしよう。
<0036> もうこいつは魔法使いとか超能力者とか、そういう部類なんだと思うことにしよう。

// <0037> 瑚太朗
<0037> 瑚太朗

// <0038> 「もうそっちの言うことは全部当たりってことでいいよ」
<0038> 「もうそっちの言うことは全部当たりってことでいいよ」

// <0039> 井上＿電話
<0039> 井上＿電話

// <0040> 『じゃあひとつ確認。川を最後まで調べてみた？』
<0040> 『じゃあひとつ確認。川を最後まで調べてみた？』

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「…思い出したくもないけどな」
<0042> 「…思い出したくもないけどな」

// <0043> 井上＿電話
<0043> 井上＿電話

// <0044> 『その口ぶりなら、見たみたいね。あたしは虹沼って呼んでる』
<0044> 『その口ぶりなら、見たみたいね。あたしは虹沼って呼んでる』

// <0045> 瑚太朗
<0045> 瑚太朗

// <0046> 「虹沼ね…そりゃピッタリだ」
<0046> 「虹沼ね…そりゃピッタリだ」

// <0047> 井上＿電話
<0047> 井上＿電話

// <0048> 『オカ研けっこう頑張るなぁ。ねえ、じゃ汚染の原因まではわかってる？』
<0048> 『オカ研けっこう頑張るなぁ。ねえ、じゃ汚染の原因まではわかってる？』

// <0049> 瑚太朗
<0049> 瑚太朗

// <0050> 「いいや。何なの？」
<0050> 「いいや。何なの？」

// <0051> 井上＿電話
<0051> 井上＿電話

// <0052> 『…教えられるわけないじゃない。君、すかぽんたんなの？』
<0052> 『…教えられるわけないじゃない。君、すかぽんたんなの？』

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「自分はずけずけ質問しておきながら！」
<0054> 「自分はずけずけ質問しておきながら！」

// <0055> 井上＿電話
<0055> 井上＿電話

// <0056> 『情報を吐き出させて自分は溜め込む。基本よ基本』
<0056> 『情報を吐き出させて自分は溜め込む。基本よ基本』

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「ひっでーな。まあいいけどな…こっちは別に。調査やめたし」
<0058> 「ひっでーな。まあいいけどな…こっちは別に。調査やめたし」

// <0059> 井上＿電話
<0059> 井上＿電話

// <0060> 『中止するんだ？』
<0060> 『中止するんだ？』

