// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> 小鳥
<0003> 小鳥

// <0004> 当たり前の月曜日が来た。
<0004> 当たり前の月曜日が来た。

// <0005> あの後、俺は昨日、丸一日寝ていたらしい。
<0005> あの後、俺は昨日、丸一日寝ていたらしい。

// <0006> 学校に来たのは、授業を受けるためじゃない。
<0006> 学校に来たのは、授業を受けるためじゃない。

// <0007> 確認をしたかったからだ。
<0007> 確認をしたかったからだ。

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「…」
<0009> 「…」

// <0010> 教室には早めに来た。
<0010> 教室には早めに来た。

// <0011> そして待った。
<0011> そして待った。

// <0012> クラスメイト
<0012> クラスメイト

// <0013> 「なー課題ってやった？」
<0013> 「なー課題ってやった？」

// <0014> クラスメイト
<0014> クラスメイト

// <0015> 「収穫祭って来週の月曜からだっけ？」
<0015> 「収穫祭って来週の月曜からだっけ？」

// <0016> クラスメイト
<0016> クラスメイト

// <0017> 「おまえメール出したのにスルーしたろ」
<0017> 「おまえメール出したのにスルーしたろ」

// <0018> クラスメイト
<0018> クラスメイト

// <0019> 「あー、昨日は漫画イッキ読みして丸一日潰しちゃったよ」
<0019> 「あー、昨日は漫画イッキ読みして丸一日潰しちゃったよ」

// <0020> 瑚太朗
<0020> 瑚太朗

// <0021> 「…」
<0021> 「…」

// <0022> とりとめのない会話は、途切れることのないＢＧＭのように耳を抜けていく。
<0022> とりとめのない会話は、途切れることのないＢＧＭのように耳を抜けていく。

// <0023> いつもなら俺を安心感で包んでくれる日常のサウンド。
<0023> いつもなら俺を安心感で包んでくれる日常のサウンド。

// <0024> 今日ばかりは読解不能な雑音としか思えなかった。
<0024> 今日ばかりは読解不能な雑音としか思えなかった。

// <0025> …心がささくれだっている。
<0025> …心がささくれだっている。

// <0026> 良くない傾向だ。
<0026> 良くない傾向だ。

// <0027> なんとかポジティブな自分を取り戻したい。
<0027> なんとかポジティブな自分を取り戻したい。

// <0028> が、そうするだけの気力が湧かなかった。
<0028> が、そうするだけの気力が湧かなかった。

// <0029> 確認を済ませるまで。
<0029> 確認を済ませるまで。

// <0030> 安心を得るまで。
<0030> 安心を得るまで。

// <0031> 落ち着くことはできそうにない。
<0031> 落ち着くことはできそうにない。

// <0032> 結局俺は、自分が思うほど根っからポジティブではなかったようだ。
<0032> 結局俺は、自分が思うほど根っからポジティブではなかったようだ。

// <0033> だってそうだろ？
<0033> だってそうだろ？

// <0034> あんなことがあったんだ…
<0034> あんなことがあったんだ…

// <0035> 瑚太朗
<0035> 瑚太朗

// <0036> 「………」
<0036> 「………」

// <0037> こうして思い返しても、夢としか思えない。
<0037> こうして思い返しても、夢としか思えない。

// <0038> あれは本当に現実の出来事だったのだろうか？
<0038> あれは本当に現実の出来事だったのだろうか？

// <0039> 夢であって欲しい。
<0039> 夢であって欲しい。

// <0040> 静流やルチアが教室に顔を出してくれれば、すぐにそう確信することができる。
<0040> 静流やルチアが教室に顔を出してくれれば、すぐにそう確信することができる。

// <0041> 小鳥やちはやと、土曜の出来事を確認するだけでもいい。
