// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「………」
<0001> 「………」

// <0002> 朱音
<0002> 朱音

// <0003> 「………」
<0003> 「………」

// <0004> 朱音に誘われ、学校の屋上まで遠征した。
<0004> 朱音に誘われ、学校の屋上まで遠征した。

// <0005> 自分で誘っておいて、なかなか切り出さない。
<0005> 自分で誘っておいて、なかなか切り出さない。

// <0006> 意図がつかみかねた。
<0006> 意図がつかみかねた。

// <0007> 長すぎる沈黙を、朱音の第一声が破った。
<0007> 長すぎる沈黙を、朱音の第一声が破った。

// <0008> 
<0008> 

// <0009> 朱音
<0009> 朱音

// <0010> 「…昔、ある女の子がいたの」
<0010> 「…昔、ある女の子がいたの」

// <0011> それは昔話だった。
<0011> それは昔話だった。

// <0012> 遠い遠い昔、まだ国の形も定まっていないほどの、霞むような昔…
<0012> 遠い遠い昔、まだ国の形も定まっていないほどの、霞むような昔…

// <0013> 最初に見出された少女の物語。
<0013> 最初に見出された少女の物語。

// <0014> その出自はどうでも良かった。
<0014> その出自はどうでも良かった。

// <0015> みなし子で、親兄弟はいなかった。
<0015> みなし子で、親兄弟はいなかった。

// <0016> ただ少女には神通力が備わっていた。
<0016> ただ少女には神通力が備わっていた。

// <0017> 癒しの力。
<0017> 癒しの力。

// <0018> その力は、心を失った人々さえ治すことができた。
<0018> その力は、心を失った人々さえ治すことができた。

// <0019> 当時、病人や心の病になった人間は、隔離され、虐げられるだけの存在だった。
<0019> 当時、病人や心の病になった人間は、隔離され、虐げられるだけの存在だった。

// <0020> 彼らにとって、少女は福音そのものだ。
<0020> 彼らにとって、少女は福音そのものだ。

// <0021> 人々は少女のもとに集まる。
<0021> 人々は少女のもとに集まる。

// <0022> 癒された人々の多くが世間には戻らず、彼女の世話をするようになった。
<0022> 癒された人々の多くが世間には戻らず、彼女の世話をするようになった。

// <0023> 信奉者となったのだ。
<0023> 信奉者となったのだ。

// <0024> いつしか彼らは、組織となった。
<0024> いつしか彼らは、組織となった。

// <0025> 奇跡の力は秘儀とされ、少女は聖女とされ、厳かなものとされた。
<0025> 奇跡の力は秘儀とされ、少女は聖女とされ、厳かなものとされた。

// <0026> 信仰心が芽吹くのは当然だった。
<0026> 信仰心が芽吹くのは当然だった。

// <0027> 生まれつき言葉を使えない子供が、突然はきはきと語り始める。
<0027> 生まれつき言葉を使えない子供が、突然はきはきと語り始める。

// <0028> 老いて霞がかった女が、夢から醒めたように背筋を伸ばす。
<0028> 老いて霞がかった女が、夢から醒めたように背筋を伸ばす。

// <0029> 少女は幸せだった。
<0029> 少女は幸せだった。

// <0030> 今までひとりだったのに、今はもう孤独ではない。
<0030> 今までひとりだったのに、今はもう孤独ではない。

// <0031> あたたかい食べ物がある。
<0031> あたたかい食べ物がある。

// <0032> 人々が笑っている。
<0032> 人々が笑っている。

// <0033> 大事にしてくれる。
<0033> 大事にしてくれる。

// <0034> 優しい人が、力を使えば使うほど増える。
<0034> 優しい人が、力を使えば使うほど増える。

// <0035> だがいつしか、弾圧がはじまる。
<0035> だがいつしか、弾圧がはじまる。

// <0036> 邪教と断じられ、迫害を受けた。
<0036> 邪教と断じられ、迫害を受けた。

// <0037> 彼らは少女を連れて逃げた。
<0037> 彼らは少女を連れて逃げた。

// <0038> …時の権力者は彼女らを駆り立てた。
<0038> …時の権力者は彼女らを駆り立てた。

// <0039> 彼らは火によって焼かれた。
<0039> 彼らは火によって焼かれた。

// <0040> 優しかった人々が燃える様は、悪夢のようだった。
<0040> 優しかった人々が燃える様は、悪夢のようだった。

// <0041> 自身火だるまになりながら、少女は人々を癒そうとした。
<0041> 自身火だるまになりながら、少女は人々を癒そうとした。

// <0042> 焼死体から手足がもげて、人の形ではなくなった時、突然それは変貌した。
<0042> 焼死体から手足がもげて、人の形ではなくなった時、突然それは変貌した。

// <0043> 炎と肉の怪物となったのだ。
<0043> 炎と肉の怪物となったのだ。

// <0044> 怪物は表に飛び出し、権力者の兵に襲いかかった。
<0044> 怪物は表に飛び出し、権力者の兵に襲いかかった。

// <0045> 少女は慟哭した。
<0045> 少女は慟哭した。

// <0046> こんなことは望んでいなかった！
<0046> こんなことは望んでいなかった！

// <0047> ここで少女の意識は途切れる。
<0047> ここで少女の意識は途切れる。

// <0048> 死だ。
<0048> 死だ。

// <0049> 最後の瞬間を、後悔と絶望でまっ黒に染め、少女は息絶えた。
<0049> 最後の瞬間を、後悔と絶望でまっ黒に染め、少女は息絶えた。

// <0050> とある少女が、山奥で暮らしていた。
<0050> とある少女が、山奥で暮らしていた。

// <0051> 彼女は、落ち延びた信奉者の抱えていた赤子だ。
<0051> 彼女は、落ち延びた信奉者の抱えていた赤子だ。

// <0052> 母親はもう亡く、少女は山でひとり暮らしていた。
<0052> 母親はもう亡く、少女は山でひとり暮らしていた。

// <0053> 少女は自分が、かつて教祖であったことを知っていた。
<0053> 少女は自分が、かつて教祖であったことを知っていた。

// <0054> 厳密には違う。
<0054> 厳密には違う。

// <0055> 彼女が受け継いでいたものは、じかの記憶ではなく、神通力だった。
<0055> 彼女が受け継いでいたものは、じかの記憶ではなく、神通力だった。

// <0056> ただ神通力に、当時の感情や記憶が多少こびりついていた。
<0056> ただ神通力に、当時の感情や記憶が多少こびりついていた。

// <0057> 完全ではないがそれを獲得した少女の知性は、大いに引き上げられた。
<0057> 完全ではないがそれを獲得した少女の知性は、大いに引き上げられた。

// <0058> だが彼女は苦しんだ。
<0058> だが彼女は苦しんだ。

// <0059> 神通力に対する恐怖、力を使うことで大勢の人間が焼かれる恐怖、そして魔物を生み出してしまう恐怖。
<0059> 神通力に対する恐怖、力を使うことで大勢の人間が焼かれる恐怖、そして魔物を生み出してしまう恐怖。

// <0060> 少女は生涯、怯えながら里で暮らし、震えながら死んだ。
<0060> 少女は生涯、怯えながら里で暮らし、震えながら死んだ。

// <0061> 三度目の継承。
<0061> 三度目の継承。

// <0062> 三人目の少女は、二人目と同じ里に住んでいた。
<0062> 三人目の少女は、二人目と同じ里に住んでいた。

// <0063> 彼女は力を使うことをまるで恐れなかった。
<0063> 彼女は力を使うことをまるで恐れなかった。

// <0064> そして自ら望んで偶像となった。
