// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月５日(火)
<0003> １０月５日(火)

// <0004> 目覚ましの音が鳴る。
<0004> 目覚ましの音が鳴る。

// <0005> 寝ぼけながらその発生源に一撃を加え、音を止めた。
<0005> 寝ぼけながらその発生源に一撃を加え、音を止めた。

// <0006> 瑚太朗＿体験版
<0006> 瑚太朗＿体験版

// <0007> 「………」
<0007> 「………」

// <0008> 目が覚めた。
<0008> 目が覚めた。

// <0009> 瑚太朗＿体験版
<0009> 瑚太朗＿体験版

// <0010> 「……ぐう」
<0010> 「……ぐう」

// <0011> 寝た。
<0011> 寝た。

// <0012> ………。
<0012> ………。

// <0013> …………。
<0013> …………。

// <0014> 瑚太朗＿体験版
<0014> 瑚太朗＿体験版

// <0015> 「………」
<0015> 「………」

// <0016> 瑚太朗＿体験版
<0016> 瑚太朗＿体験版

// <0017> 「というわけで今日は危うく遅刻しかけた」
<0017> 「というわけで今日は危うく遅刻しかけた」

// <0018> 小鳥＿体験版
<0018> 小鳥＿体験版

// <0019> 「へー」
<0019> 「へー」

// <0020> そういうこともあるのだ。
<0020> そういうこともあるのだ。

// <0021> 小鳥＿体験版
<0021> 小鳥＿体験版

// <0022> 「じゃあこれ寝癖？　新しいヘアスタイルかと思った」
<0022> 「じゃあこれ寝癖？　新しいヘアスタイルかと思った」

// <0023> 瑚太朗＿体験版
<0023> 瑚太朗＿体験版

// <0024> 「ん…」
<0024> 「ん…」

// <0025> 手鏡で見せてもらう。
<0025> 手鏡で見せてもらう。

// <0026> 瑚太朗＿体験版
<0026> 瑚太朗＿体験版

// <0027> 「うへ…寝癖直してる時間とか全カットだったかんねえ…」
<0027> 「うへ…寝癖直してる時間とか全カットだったかんねえ…」

// <0028> 後でトイレにでも行って直してこよう。
<0028> 後でトイレにでも行って直してこよう。

// <0029> 吉野＿体験版
<0029> 吉野＿体験版

// <0030> 「………」
<0030> 「………」

// <0031> ふと、腕を組んで椅子にふんぞり返っている吉野の視線に気づく。
<0031> ふと、腕を組んで椅子にふんぞり返っている吉野の視線に気づく。

// <0032> 瑚太朗＿体験版
<0032> 瑚太朗＿体験版

// <0033> 「なんだ、楽しげな朝の会話には入ってこないのか」
<0033> 「なんだ、楽しげな朝の会話には入ってこないのか」

// <0034> 吉野＿体験版
<0034> 吉野＿体験版

// <0035> 「うるせぇ」
<0035> 「うるせぇ」

// <0036> 相変わらずの反応。
<0036> 相変わらずの反応。

// <0037> とりあえず吉野との親しげな会話は諦めよう。
<0037> とりあえず吉野との親しげな会話は諦めよう。

// <0038> 小鳥＿体験版
<0038> 小鳥＿体験版

// <0039> 「なんか、吉野君、サムライっぽい」
<0039> 「なんか、吉野君、サムライっぽい」

// <0040> 瑚太朗＿体験版
<0040> 瑚太朗＿体験版

// <0041> 「そうか？」
<0041> 「そうか？」

// <0042> 吉野＿体験版
<0042> 吉野＿体験版

// <0043> 「………」
<0043> 「………」

// <0044> 吉野は露骨に目を伏せ、無関心の態度をとっていた。
<0044> 吉野は露骨に目を伏せ、無関心の態度をとっていた。

// <0045> 小鳥＿体験版
<0045> 小鳥＿体験版

