// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月１９日(火)
<0003> １０月１９日(火)

// <0004> お、吉野だ。
<0004> お、吉野だ。

// <0005> 吉野
<0005> 吉野

// <0006> 「………」
<0006> 「………」

// <0007> …なんか、自販機を前にうなだれてる…。
<0007> …なんか、自販機を前にうなだれてる…。

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「どうしたよ、吉野さん」
<0009> 「どうしたよ、吉野さん」

// <0010> 吉野
<0010> 吉野

// <0011> 「テメェか…」
<0011> 「テメェか…」

// <0012> 吉野
<0012> 吉野

// <0013> 「消えな。テメェの胸糞のわりいコメディショウを眺めてる気分じゃねえ」
<0013> 「消えな。テメェの胸糞のわりいコメディショウを眺めてる気分じゃねえ」

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「いや、コメディショウはやってねえけど…どうした」
<0015> 「いや、コメディショウはやってねえけど…どうした」

// <0016> 吉野
<0016> 吉野

// <0017> 「テメェに言ってもわからねえかもしれんが…」
<0017> 「テメェに言ってもわからねえかもしれんが…」

// <0018> 吉野
<0018> 吉野

// <0019> 「世の中ってなぁ、儚むしかねえもんだなぁ…」
<0019> 「世の中ってなぁ、儚むしかねえもんだなぁ…」

// <0020> フ、と顔を伏せる。
<0020> フ、と顔を伏せる。

// <0021> 瑚太朗
<0021> 瑚太朗

// <0022> 「儚む、か…」
<0022> 「儚む、か…」

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「いったいなんだプスー俺にプ話してみろよゥプッ」
<0024> 「いったいなんだプスー俺にプ話してみろよゥプッ」

// <0025> 吉野
<0025> 吉野

// <0026> 「真面目な顔して何がおもしれえんだテメェ」
<0026> 「真面目な顔して何がおもしれえんだテメェ」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「アハハハハいや君が面白いから」
<0028> 「アハハハハいや君が面白いから」

// <0029> 吉野
<0029> 吉野

// <0030> 「…ぶっ殺す」
<0030> 「…ぶっ殺す」

// <0031> 胸倉をつかまれる。
<0031> 胸倉をつかまれる。

// <0032> 瑚太朗
<0032> 瑚太朗

// <0033> 「わーったわーった悪かったよ！」
<0033> 「わーったわーった悪かったよ！」

// <0034> 瑚太朗
<0034> 瑚太朗

// <0035> 「ホラホラ話してごらん、よーしよし吉野はいい子だな」
<0035> 「ホラホラ話してごらん、よーしよし吉野はいい子だな」

// <0036> 吉野
<0036> 吉野

// <0037> 「全力でコケにしてくれてるが…まあいい」
<0037> 「全力でコケにしてくれてるが…まあいい」

// <0038> 吉野
<0038> 吉野

// <0039> 「さっきよ、そこで５００円拾っちまったんだよ」
<0039> 「さっきよ、そこで５００円拾っちまったんだよ」

// <0040> 瑚太朗
<0040> 瑚太朗

// <0041> 「ほー」
<0041> 「ほー」

// <0042> 吉野
<0042> 吉野

// <0043> 「それでよ…ドリンクに飢えていたオレは、ちょうどいいと思ってそこの自販機に金を入れてみた」
<0043> 「それでよ…ドリンクに飢えていたオレは、ちょうどいいと思ってそこの自販機に金を入れてみた」

// <0044> 吉野
<0044> 吉野

// <0045> 「そしたら見事に食われちまった」
<0045> 「そしたら見事に食われちまった」

// <0046> 瑚太朗
<0046> 瑚太朗

// <0047> 「え、これ壊れてんの？」
<0047> 「え、これ壊れてんの？」

// <0048> 十円玉を入れてみる。
<0048> 十円玉を入れてみる。

// <0049> 返却レバーをガチャガチャいじってみる。
<0049> 返却レバーをガチャガチャいじってみる。

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「ほんとだ…反応しないや」
