// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月２８日(木)
<0003> １０月２８日(木)

// <0004> 瑚太朗
<0004> 瑚太朗

// <0005> 「さーて！　今日のオカ研活動はー？」
<0005> 「さーて！　今日のオカ研活動はー？」

// <0006> 朱音
<0006> 朱音

// <0007> 「………」
<0007> 「………」

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「会長…」
<0009> 「会長…」

// <0010> 解説するのも馬鹿らしいが、ウィー（ＷＥＥ）のスポーツで体を動かしながらゲームをしていた。
<0010> 解説するのも馬鹿らしいが、ウィー（ＷＥＥ）のスポーツで体を動かしながらゲームをしていた。

// <0011> 瑚太朗
<0011> 瑚太朗

// <0012> 「多少健康的ですけど…」
<0012> 「多少健康的ですけど…」

// <0013> つっこむ気にもなれなかった。
<0013> つっこむ気にもなれなかった。

// <0014> 咲夜
<0014> 咲夜

// <0015> 「今日はメロンパイなどを作ってみました。すぐに果汁でべたべたになってしまいますので、お早めにお召し上がりください」
<0015> 「今日はメロンパイなどを作ってみました。すぐに果汁でべたべたになってしまいますので、お早めにお召し上がりください」

// <0016> 小鳥
<0016> 小鳥

// <0017> 「わーい」
<0017> 「わーい」

// <0018> ちはや
<0018> ちはや

// <0019> 「これすごく美味しいんですよねえー」
<0019> 「これすごく美味しいんですよねえー」

// <0020> 静流
<0020> 静流

// <0021> 「もぐもぐ」
<0021> 「もぐもぐ」

// <0022> 咲夜
<0022> 咲夜

// <0023> 「此花さんもいかがでしょう」
<0023> 「此花さんもいかがでしょう」

// <0024> ルチア
<0024> ルチア

// <0025> 「あっ、わ、私は…」
<0025> 「あっ、わ、私は…」

// <0026> 咲夜
<0026> 咲夜

// <0027> 「遠慮なさらず。人数分ご用意してきましたので、余ると勿体無いですから」
<0027> 「遠慮なさらず。人数分ご用意してきましたので、余ると勿体無いですから」

// <0028> ルチア
<0028> ルチア

// <0029> 「…そういうことなら…」
<0029> 「…そういうことなら…」

// <0030> ルチア
<0030> ルチア

// <0031> 「あ、フォークは自前のがあるから、大丈夫だ」
<0031> 「あ、フォークは自前のがあるから、大丈夫だ」

// <0032> 咲夜
<0032> 咲夜

// <0033> 「はい。では、どうぞ」
<0033> 「はい。では、どうぞ」

// <0034> とうとう委員長までスウィーツ空間に捕らえられてしまった…。
<0034> とうとう委員長までスウィーツ空間に捕らえられてしまった…。

// <0035> 瑚太朗
<0035> 瑚太朗

// <0036> 「ええぇーい！　いい加減にしろお前らぁーーッ！！」
<0036> 「ええぇーい！　いい加減にしろお前らぁーーッ！！」

// <0037> 咲夜
<0037> 咲夜

// <0038> 「なんです？　もちろんなめろう君の分などご用意しておりませんが」
<0038> 「なんです？　もちろんなめろう君の分などご用意しておりませんが」

// <0039> 瑚太朗
<0039> 瑚太朗

// <0040> 「瑚太朗です」
<0040> 「瑚太朗です」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「…そこは織り込み済みだからいい」
<0042> 「…そこは織り込み済みだからいい」

// <0043> 瑚太朗
<0043> 瑚太朗

// <0044> 「いいですかみなさん！」
<0044> 「いいですかみなさん！」

// <0045> 瑚太朗
<0045> 瑚太朗

// <0046> 「現在のところネタ集めで成果が上がってるのは！」
<0046> 「現在のところネタ集めで成果が上がってるのは！」

// <0047> ホワイトボードにメンバーの名前と正の字を書いていく。
<0047> ホワイトボードにメンバーの名前と正の字を書いていく。

// <0048> 瑚太朗
<0048> 瑚太朗

// <0049> 「ご覧のとおり、ネットからが９割！　残り１割が俺！」
<0049> 「ご覧のとおり、ネットからが９割！　残り１割が俺！」

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「後のみんなは０割０分１厘なんすよ！！」
<0051> 「後のみんなは０割０分１厘なんすよ！！」

// <0052> 朱音
<0052> 朱音

// <0053> 「これ疲れるわ…」
<0053> 「これ疲れるわ…」

// <0054> 瑚太朗
<0054> 瑚太朗

// <0055> 「………」
<0055> 「………」

// <0056> ＷＥＥを秘書に片付けさせ始める。
<0056> ＷＥＥを秘書に片付けさせ始める。

// <0057> トップがこのやる気のない有様だし…。
<0057> トップがこのやる気のない有様だし…。

// <0058> 咳払いを一つし、場を仕切りなおす。
<0058> 咳払いを一つし、場を仕切りなおす。

// <0059> 瑚太朗
<0059> 瑚太朗

// <0060> 「部活としてあんまりよくない状況だと思いませんか皆さん！？」
<0060> 「部活としてあんまりよくない状況だと思いませんか皆さん！？」

// <0061> ルチア
<0061> ルチア

// <0062> 「そうは言うが、結局のところ天王寺の活動だって、ほとんど成果が上がってないと言うことじゃないか」
<0062> 「そうは言うが、結局のところ天王寺の活動だって、ほとんど成果が上がってないと言うことじゃないか」

// <0063> 瑚太朗
<0063> 瑚太朗

// <0064> 「ぐっ…」
<0064> 「ぐっ…」

// <0065> 小鳥
<0065> 小鳥

// <0066> 「でも、確かにねえ…」
<0066> 「でも、確かにねえ…」

// <0067> ちはや
<0067> ちはや

// <0068> 「ネタ集めなんて言っても、どうしたらいいかわからないですし…」
<0068> 「ネタ集めなんて言っても、どうしたらいいかわからないですし…」

// <0069> 小鳥
<0069> 小鳥

// <0070> 「知り合いに話聞くくらいしか出来ないしね…」
<0070> 「知り合いに話聞くくらいしか出来ないしね…」

// <0071> 瑚太朗
<0071> 瑚太朗

// <0072> 「………」
<0072> 「………」

// <0073> 確かにそうだ。
<0073> 確かにそうだ。

// <0074> そもそもこいつら友達いない軍団なのだ…。
<0074> そもそもこいつら友達いない軍団なのだ…。

// <0075> 瑚太朗
<0075> 瑚太朗

// <0076> 「そこで、だ」
<0076> 「そこで、だ」

// <0077> 瑚太朗
<0077> 瑚太朗

// <0078> 「活動人員を増やしたいと思う！」
<0078> 「活動人員を増やしたいと思う！」

// <0079> 朱音
<0079> 朱音

// <0080> 「………」
<0080> 「………」

// <0081> 瑚太朗
<0081> 瑚太朗

// <0082> 「仰りたい事は重々承知しております会長。ですがこの場はそれを飲み込んでおいていただきたい」
<0082> 「仰りたい事は重々承知しております会長。ですがこの場はそれを飲み込んでおいていただきたい」

// <0083> 朱音
<0083> 朱音

// <0084> 「わかったわ」
<0084> 「わかったわ」

// <0085> 瑚太朗
<0085> 瑚太朗

// <0086> 「ありゃ、会長殿にしては珍しく聞き分けのいいことで」
<0086> 「ありゃ、会長殿にしては珍しく聞き分けのいいことで」

// <0087> 朱音
<0087> 朱音

// <0088> 「ただね」
<0088> 「ただね」

// <0089> 朱音
<0089> 朱音

// <0090> 「絶っっ対に私は手伝わないから」
<0090> 「絶っっ対に私は手伝わないから」

// <0091> 瑚太朗
<0091> 瑚太朗

// <0092> 「……はい」
<0092> 「……はい」

// <0093> 一人目の反応からいきなりやる気の殺がれる展開だった。
<0093> 一人目の反応からいきなりやる気の殺がれる展開だった。

// <0094> 小鳥
<0094> 小鳥

// <0095> 「でも、人増やすって誰か当てはあるの？」
<0095> 「でも、人増やすって誰か当てはあるの？」

// <0096> 瑚太朗
<0096> 瑚太朗

// <0097> 「あると言えばあるが全く無いと言えば全く無い」
<0097> 「あると言えばあるが全く無いと言えば全く無い」

// <0098> ちはや
<0098> ちはや

// <0099> 「なんですそれ？」
<0099> 「なんですそれ？」

// <0100> 瑚太朗
<0100> 瑚太朗

// <0101> 「だって…声かけてもまず色のいい返事はこないだろうから…」
<0101> 「だって…声かけてもまず色のいい返事はこないだろうから…」

// <0102> 多分、牙を剥いた狼は、放課後のオカルト研究会でスウィーツを頬張ったりしない。
<0102> 多分、牙を剥いた狼は、放課後のオカルト研究会でスウィーツを頬張ったりしない。

// <0103> ルチア
<0103> ルチア

// <0104> 「じゃあ勧誘でもするのか？」
<0104> 「じゃあ勧誘でもするのか？」

// <0105> 瑚太朗
<0105> 瑚太朗

// <0106> 「そうなるかな…」
<0106> 「そうなるかな…」

// <0107> 小鳥
<0107> 小鳥

// <0108> 「無理だと思うよ…この時期に新しく部活に入ろうとする人なんて、まずいないもの」
<0108> 「無理だと思うよ…この時期に新しく部活に入ろうとする人なんて、まずいないもの」

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「確かに自発的に入りたがるやつは皆無だろう」
<0110> 「確かに自発的に入りたがるやつは皆無だろう」

// <0111> 瑚太朗
<0111> 瑚太朗

// <0112> 「でも、何か理由があれば、入るやつもいるんじゃないか」
<0112> 「でも、何か理由があれば、入るやつもいるんじゃないか」

// <0113> 俺とか。
<0113> 俺とか。

// <0114> 小鳥
<0114> 小鳥

// <0115> 「理由って？」
<0115> 「理由って？」

// <0116> 瑚太朗
<0116> 瑚太朗

// <0117> 「きっかけなんて大したもんじゃなくていい」
<0117> 「きっかけなんて大したもんじゃなくていい」

// <0118> 小鳥
