// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月２１日(木)
<0003> １０月２１日(木)

// <0004> 授業開始のチャイムが鳴る。
<0004> 授業開始のチャイムが鳴る。

// <0005> あちこちの教室から、起立する時の、椅子がドタドタガタガタする音が聞こえてくる。
<0005> あちこちの教室から、起立する時の、椅子がドタドタガタガタする音が聞こえてくる。

// <0006> しかし、うちのクラスのそれはまだだ。
<0006> しかし、うちのクラスのそれはまだだ。

// <0007> おいおいおいおい。うちのクラスの教師はいつ来るんだ？
<0007> おいおいおいおい。うちのクラスの教師はいつ来るんだ？

// <0008> 小鳥
<0008> 小鳥

// <0009> 「どうしたんだろ。先生、遅いねぇ」
<0009> 「どうしたんだろ。先生、遅いねぇ」

// <0010> 瑚太朗
<0010> 瑚太朗

// <0011> 「あぁ、実にけしからん。俺たちの遅刻は厳しく取り締まるくせに」
<0011> 「あぁ、実にけしからん。俺たちの遅刻は厳しく取り締まるくせに」

// <0012> 小鳥
<0012> 小鳥

// <0013> 「じゃあ、遅刻した分もしっかり延長して授業してもらわないとねぇ」
<0013> 「じゃあ、遅刻した分もしっかり延長して授業してもらわないとねぇ」

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「そこは時間厳守で結構です」
<0015> 「そこは時間厳守で結構です」

// <0016> 遅れた分、授業時間を延長されて、その後の休み時間にまで食い込まれたら堪ったもんじゃない。
<0016> 遅れた分、授業時間を延長されて、その後の休み時間にまで食い込まれたら堪ったもんじゃない。

// <0017> まぁ、先生も人の子。たまには遅れることもあるだろう。
<0017> まぁ、先生も人の子。たまには遅れることもあるだろう。

// <0018> 遅刻して、静まり返った教室にコソコソと入る気まずさは身に染みてる。
<0018> 遅刻して、静まり返った教室にコソコソと入る気まずさは身に染みてる。

// <0019> だからこそ、安心して教室に入れるよう、賑やかにしてやるのが生徒の務めってもんだ。
<0019> だからこそ、安心して教室に入れるよう、賑やかにしてやるのが生徒の務めってもんだ。

// <0020> という、俺の考えに賛同してくれたかどうかは知らないが、クラスメイトたちはぺちゃくちゃとおしゃべりを始め、とても賑やかになった。
<0020> という、俺の考えに賛同してくれたかどうかは知らないが、クラスメイトたちはぺちゃくちゃとおしゃべりを始め、とても賑やかになった。

// <0021> ルチア
<0021> ルチア

// <0022> 「みんな静かに自習を！　私は職員室に先生を呼びに行ってくる！」
<0022> 「みんな静かに自習を！　私は職員室に先生を呼びに行ってくる！」

// <0023> 委員長は静粛を訴えるが、みんなは勝手にお喋りで実にフリーダムだ。
<0023> 委員長は静粛を訴えるが、みんなは勝手にお喋りで実にフリーダムだ。

// <0024> 重ねて自習するように言うと、委員長は職員室へ出掛けていった。
<0024> 重ねて自習するように言うと、委員長は職員室へ出掛けていった。

// <0025> 俺はどうするか…。
<0025> 俺はどうするか…。

// <0026> さすがに自習なんてする気にはならない。
<0026> さすがに自習なんてする気にはならない。

// <0027> 平和にぼんやり、退屈に、居眠りでもして過ごしてしまおうか。
<0027> 平和にぼんやり、退屈に、居眠りでもして過ごしてしまおうか。

// <0028> いやいや。盛大に騒ぎ、帰ってきた委員長がコラーと怒って、さらに賑やかになるのも面白いだろう。
<0028> いやいや。盛大に騒ぎ、帰ってきた委員長がコラーと怒って、さらに賑やかになるのも面白いだろう。

// <0029> これ幸いと寝る
<0029> これ幸いと寝る

// <0030> 吉野とコラボる
<0030> 吉野とコラボる

// <0031> 寝よう。
<0031> 寝よう。

// <0032> すやっ。
<0032> すやっ。

// <0033> ………。
<0033> ………。

// <0034> 小鳥
<0034> 小鳥

// <0035> 「ありゃ、寝てる…」
<0035> 「ありゃ、寝てる…」

// <0036> 小鳥
<0036> 小鳥

// <0037> 「あたしも寝よっと」
<0037> 「あたしも寝よっと」

// <0038> ちはや
<0038> ちはや

// <0039> 「寝ていいものなんでしょうか…」
<0039> 「寝ていいものなんでしょうか…」

// <0040> ちはや
<0040> ちはや

// <0041> 「まあ、寝ましょう」
<0041> 「まあ、寝ましょう」

// <0042> 瑚太朗
<0042> 瑚太朗

// <0043> 「………」
<0043> 「………」

// <0044> 目覚めれば授業はすでに終わっていた。
<0044> 目覚めれば授業はすでに終わっていた。

// <0045> 秋眠も暁を覚えなかった。
<0045> 秋眠も暁を覚えなかった。

// <0046> 騒いでかまってもらおう。
<0046> 騒いでかまってもらおう。

// <0047> 小学生か俺は。
<0047> 小学生か俺は。

// <0048> 瑚太朗
<0048> 瑚太朗

// <0049> 「吉野、コラボろうぜ」
<0049> 「吉野、コラボろうぜ」

// <0050> 吉野
<0050> 吉野

// <0051> 「うぜえ…テメエと演るのはデュエルだけだ」
<0051> 「うぜえ…テメエと演るのはデュエルだけだ」

// <0052> 早速吉野節が炸裂した。
<0052> 早速吉野節が炸裂した。

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「てか、こういうときもお前さん、出てったりしないんだな」
<0054> 「てか、こういうときもお前さん、出てったりしないんだな」

// <0055> 吉野
<0055> 吉野

// <0056> 「教師という秩序が失われれば、そこは無法の荒野も同じ。……この騒がしきカオスの教室こそが、オレの居場所ってわけさ」
<0056> 「教師という秩序が失われれば、そこは無法の荒野も同じ。……この騒がしきカオスの教室こそが、オレの居場所ってわけさ」

// <0057> 瑚太朗
<0057> 瑚太朗

