// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「この部屋は…」
<0001> 「この部屋は…」

// <0002> 瑚太朗
<0002> 瑚太朗

// <0003> 「階段が窓から見えるが、ドアが開かないぞ。資材なんかで塞がれているらしい」
<0003> 「階段が窓から見えるが、ドアが開かないぞ。資材なんかで塞がれているらしい」

// <0004> 
<0004> 

// <0005> 瑚太朗
<0005> 瑚太朗

// <0006> 「大体見て回ったと思うが、あんまりネタになりそうなものはなかった」
<0006> 「大体見て回ったと思うが、あんまりネタになりそうなものはなかった」

// <0007> 瑚太朗
<0007> 瑚太朗

// <0008> 「あとはここに期待するしかない」
<0008> 「あとはここに期待するしかない」

// <0009> 
<0009> 

// <0010> 小鳥
<0010> 小鳥

// <0011> 「この裏に階段があるんよね」
<0011> 「この裏に階段があるんよね」

// <0012> 瑚太朗
<0012> 瑚太朗

// <0013> 「ふむ…この資材やらなんやらをどかせば行けそうだが…」
<0013> 「ふむ…この資材やらなんやらをどかせば行けそうだが…」

// <0014> ちはや
<0014> ちはや

// <0015> 「どかせばいいんです？」
<0015> 「どかせばいいんです？」

// <0016> ひょい、と持ち上げ、そのまま隣に移す。
<0016> ひょい、と持ち上げ、そのまま隣に移す。

// <0017> 小鳥
<0017> 小鳥

// <0018> 「さすがの怪力」
<0018> 「さすがの怪力」

// <0019> 瑚太朗
<0019> 瑚太朗

// <0020> 「よし、行ってみよう」
<0020> 「よし、行ってみよう」

// <0021> ………。
<0021> ………。

// <0022> 二階に上がってきた。
<0022> 二階に上がってきた。

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「む…床がなんかぶよぶよになってるな」
<0024> 「む…床がなんかぶよぶよになってるな」

// <0025> ルチア
<0025> ルチア

// <0026> 「気をつけよう。床が抜け落ちるかも…」
<0026> 「気をつけよう。床が抜け落ちるかも…」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「ああ、特にちはや…」
<0028> 「ああ、特にちはや…」

// <0029> 振り返ると。
<0029> 振り返ると。

// <0030> ちはや
<0030> ちはや

// <0031> 「…もう遅いです～」
<0031> 「…もう遅いです～」

// <0032> 瑚太朗
<0032> 瑚太朗

// <0033> 「………」
<0033> 「………」

// <0034> 床が抜けて出来たと思われる穴に落ちて、首だけ出していた。
<0034> 床が抜けて出来たと思われる穴に落ちて、首だけ出していた。

// <0035> ルチア
<0035> ルチア

// <0036> 「ここまで見事にハマると、もはや才能じゃないか？」
<0036> 「ここまで見事にハマると、もはや才能じゃないか？」

// <0037> ちはや
<0037> ちはや

// <0038> 「そんな才能いりませんし、ないですからっ」
<0038> 「そんな才能いりませんし、ないですからっ」

// <0039> 小鳥
<0039> 小鳥

// <0040> 「出来る！　ちーちゃん出来る出来る！！」
<0040> 「出来る！　ちーちゃん出来る出来る！！」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「シューゾーはもういい」
<0042> 「シューゾーはもういい」

// <0043> ■マッピー／既読■　ID:
<0043> ■マッピー／既読■　ID:

// <0044>  (Z
<0044>  (Z

// <0045> -
<0045> -

// <0046> ■マッピー／コンプリート■
<0046> ■マッピー／コンプリート■

// <0047> 瑚太朗
<0047> 瑚太朗

// <0048> 「瓦礫だ…特に目ぼしい物はない」
<0048> 「瓦礫だ…特に目ぼしい物はない」

// <0049> 
<0049> 

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「しかし、自然にこんな崩れ方をすることはまずない。どっかの力を持て余した馬鹿がやったんだろうな」
<0051> 「しかし、自然にこんな崩れ方をすることはまずない。どっかの力を持て余した馬鹿がやったんだろうな」

// <0052> 
<0052> 

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「臭う…」
<0054> 「臭う…」

// <0055> 瑚太朗
<0055> 瑚太朗

// <0056> 「これは、サイズからして猫のフンだろうか。ここに住み着いているのかもしれない」
<0056> 「これは、サイズからして猫のフンだろうか。ここに住み着いているのかもしれない」

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「猫がいるということは、その餌となるものもいるわけで…」
<0058> 「猫がいるということは、その餌となるものもいるわけで…」

// <0059> 瑚太朗
<0059> 瑚太朗

// <0060> 「…女性陣には黙っておこう」
<0060> 「…女性陣には黙っておこう」

// <0061> 
<0061> 

// <0062> ■マッピー／既読■　ID:
<0062> ■マッピー／既読■　ID:

// <0063>  (Z
<0063>  (Z

// <0064> -
<0064> -

// <0065> ■マッピー／コンプリート■
<0065> ■マッピー／コンプリート■

// <0066> 瑚太朗
<0066> 瑚太朗

// <0067> 「朽ち果てた机や椅子が散乱している」
<0067> 「朽ち果てた机や椅子が散乱している」

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「フレームが錆びてボロボロになっている…座ったりしたら折れてしまいそうだ」
<0069> 「フレームが錆びてボロボロになっている…座ったりしたら折れてしまいそうだ」

// <0070> 
<0070> 

// <0071> 瑚太朗
<0071> 瑚太朗

// <0072> 「ちはや、座ってみてくれ」
<0072> 「ちはや、座ってみてくれ」

// <0073> ちはや
<0073> ちはや

// <0074> 「壊れそうじゃないですかー」
<0074> 「壊れそうじゃないですかー」

// <0075> 
<0075> 

// <0076> 瑚太朗
<0076> 瑚太朗

// <0077> 「じゃあ俺が座る」
<0077> 「じゃあ俺が座る」

// <0078> 小鳥
<0078> 小鳥

// <0079> 「あ」
<0079> 「あ」

// <0080> 
<0080> 

// <0081> 瑚太朗
<0081> 瑚太朗

// <0082> 「ズコー！」
<0082> 「ズコー！」

// <0083> 瑚太朗
<0083> 瑚太朗

// <0084> 「うっひゃあ！　やっちまったぁー！」
<0084> 「うっひゃあ！　やっちまったぁー！」

// <0085> 
<0085> 

// <0086> ………。
<0086> ………。

// <0087> 瑚太朗
<0087> 瑚太朗

// <0088> 「…インパクトが足りなかったのか、全く受けなかった」
<0088> 「…インパクトが足りなかったのか、全く受けなかった」

// <0089> 
<0089> 

// <0090> 瑚太朗
<0090> 瑚太朗

// <0091> 「今度はインパクトのある崩れ方をしよう」
<0091> 「今度はインパクトのある崩れ方をしよう」

// <0092> 瑚太朗
<0092> 瑚太朗

