// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「………」
<0001> 「………」

// <0002> 思い出した。
<0002> 思い出した。

// <0003> 全部思い出した。
<0003> 全部思い出した。

// <0004> 俺のせいじゃないか。
<0004> 俺のせいじゃないか。

// <0005> きっと静流は、何か…。
<0005> きっと静流は、何か…。

// <0006> 能力を、俺のために、何か無茶な使い方をして…。
<0006> 能力を、俺のために、何か無茶な使い方をして…。

// <0007> 瑚太朗
<0007> 瑚太朗

// <0008> 「う…」
<0008> 「う…」

// <0009> 瑚太朗
<0009> 瑚太朗

// <0010> 「うあああぁ…」
<0010> 「うあああぁ…」

// <0011> …俺のために。
<0011> …俺のために。

// <0012> 見当外れなことばっかりして、考え無しで…。
<0012> 見当外れなことばっかりして、考え無しで…。

// <0013> 無謀で、馬鹿で、弱くて、何も出来ない俺なんかのために。
<0013> 無謀で、馬鹿で、弱くて、何も出来ない俺なんかのために。

// <0014> 瑚太朗
<0014> 瑚太朗

// <0015> 「…俺なんかのために…！」
<0015> 「…俺なんかのために…！」

// <0016> …返してくれ…。
<0016> …返してくれ…。

// <0017> 何もかも、返してくれ…。
<0017> 何もかも、返してくれ…。

// <0018> 誰なんだ。
<0018> 誰なんだ。

// <0019> 誰がこんな事にさせてるんだ。
<0019> 誰がこんな事にさせてるんだ。

// <0020> …俺が馬鹿だ。
<0020> …俺が馬鹿だ。

// <0021> ……魔物なんて、何であんなもん使ってるんだ。
<0021> ……魔物なんて、何であんなもん使ってるんだ。

// <0022> ……ガーディアンだとか、ガイアだとか、そんなのに縛られてるんだ。
<0022> ……ガーディアンだとか、ガイアだとか、そんなのに縛られてるんだ。

// <0023> 静流にはどうしてこんなことばかりが…。
<0023> 静流にはどうしてこんなことばかりが…。

// <0024> もし、神様ってやつが運命を決めてるんだとしたら…。
<0024> もし、神様ってやつが運命を決めてるんだとしたら…。

// <0025> 何故、静流にこんな運命を与えたんだ。
<0025> 何故、静流にこんな運命を与えたんだ。

// <0026> …何故、俺の方に、もっと過酷な運命を与えてくれなかったんだ。
<0026> …何故、俺の方に、もっと過酷な運命を与えてくれなかったんだ。

// <0027> 救いが無いじゃないか。
<0027> 救いが無いじゃないか。

// <0028> 逆だったら良かったんだ。
<0028> 逆だったら良かったんだ。

// <0029> 俺に、静流を救う力があって…。
<0029> 俺に、静流を救う力があって…。

// <0030> 俺が、静流を助けてやれたなら…。
<0030> 俺が、静流を助けてやれたなら…。

// <0031> …ふざけるんじゃねえよ…。
<0031> …ふざけるんじゃねえよ…。

// <0032> 何が強化だよ。
<0032> 何が強化だよ。

// <0033> 何がオーロラだよ。
<0033> 何がオーロラだよ。

// <0034> そんなもん、俺は欲しくなかったんだよ。
<0034> そんなもん、俺は欲しくなかったんだよ。

// <0035> そんなのより、目の前でこうしてる静流一人を幸せにしてやれる力が欲しかったんだよ……！
<0035> そんなのより、目の前でこうしてる静流一人を幸せにしてやれる力が欲しかったんだよ……！

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「ちくしょう…」
<0037> 「ちくしょう…」

// <0038> 瑚太朗
<0038> 瑚太朗

// <0039> 「…っちくしょう…」
<0039> 「…っちくしょう…」

// <0040> 痛いほど両手を握った。
<0040> 痛いほど両手を握った。

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「………」
<0042> 「………」

// <0043> 瞬間。
<0043> 瞬間。

// <0044> 何か、形容しがたい熱さが、胸の中で疼いた。
<0044> 何か、形容しがたい熱さが、胸の中で疼いた。

// <0045> 瑚太朗
<0045> 瑚太朗

// <0046> 「………」
<0046> 「………」

// <0047> 瑚太朗
<0047> 瑚太朗

// <0048> 「なんだ、これ…」
<0048> 「なんだ、これ…」

// <0049> 身体が熱い。
<0049> 身体が熱い。

// <0050> …目眩がする。
<0050> …目眩がする。

// <0051> 視界がふらつく。
<0051> 視界がふらつく。

// <0052> 高熱に浮かされた様に、意識が混濁していく。
<0052> 高熱に浮かされた様に、意識が混濁していく。

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「………」
<0054> 「………」

// <0055> 瑚太朗
<0055> 瑚太朗

// <0056> 「静流…？」
<0056> 「静流…？」

// <0057> なんだろう。
<0057> なんだろう。

// <0058> 分からない。
<0058> 分からない。

// <0059> ただ、なにか…。
<0059> ただ、なにか…。

// <0060> その熱の中に、何か、静流を感じる。
<0060> その熱の中に、何か、静流を感じる。

// <0061> 俺は死に掛けた。
<0061> 俺は死に掛けた。

// <0062> 静流の力が、俺を助けた。
<0062> 静流の力が、俺を助けた。

// <0063> …それは多分、間違いないこと。
<0063> …それは多分、間違いないこと。

// <0064> それが、何かを俺の中に残してる？
<0064> それが、何かを俺の中に残してる？

// <0065> …いや。
<0065> …いや。

// <0066> 何かは、静流だけじゃない。
<0066> 何かは、静流だけじゃない。

// <0067> …だれだ。
<0067> …だれだ。

// <0068> 俺の中にいるのは、誰だ。
<0068> 俺の中にいるのは、誰だ。

// <0069> ………。
<0069> ………。

// <0070> …………。
<0070> …………。

// <0071> 声
<0071> 声

// <0072> 「…瑚太朗君」
<0072> 「…瑚太朗君」

// <0073> 瑚太朗
<0073> 瑚太朗

// <0074> 「…誰だよ」
<0074> 「…誰だよ」

// <0075> 声
<0075> 声

// <0076> 「ごめんね」
<0076> 「ごめんね」

// <0077> 声
<0077> 声

// <0078> 「私、多分、瑚太朗君のこと、ずっと縛ってたの」
<0078> 「私、多分、瑚太朗君のこと、ずっと縛ってたの」

// <0079> 声
<0079> 声

// <0080> 「…そのせいで…」
<0080> 「…そのせいで…」

// <0081> 瑚太朗
<0081> 瑚太朗

// <0082> 「………」
<0082> 「………」

// <0083> 誰だ…？
<0083> 誰だ…？

// <0084> 分からない。
<0084> 分からない。

// <0085> 瑚太朗
<0085> 瑚太朗

// <0086> 「縛ってたって…あんたが、俺にこんな運命を？」
<0086> 「縛ってたって…あんたが、俺にこんな運命を？」

// <0087> 声
<0087> 声

// <0088> 「…そうかもしれない」
<0088> 「…そうかもしれない」

// <0089> 瑚太朗
<0089> 瑚太朗

