// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １１月１２日(金)
<0003> １１月１２日(金)

// <0004> 昼休み、会長から召集がかかった。
<0004> 昼休み、会長から召集がかかった。

// <0005> 瑚太朗
<0005> 瑚太朗

// <0006> 「活動休止要請？」
<0006> 「活動休止要請？」

// <0007> 朱音
<0007> 朱音

// <0008> 「ええ」
<0008> 「ええ」

// <0009> 小鳥
<0009> 小鳥

// <0010> 「オカ研に？」
<0010> 「オカ研に？」

// <0011> 朱音
<0011> 朱音

// <0012> 「そうよ」
<0012> 「そうよ」

// <0013> 小鳥と顔を見合わせる。
<0013> 小鳥と顔を見合わせる。

// <0014> 瑚太朗＆小鳥
<0014> 瑚太朗＆小鳥

// <0015> 「どうして？」
<0015> 「どうして？」

// <0016> 朱音
<0016> 朱音

// <0017> 「…学校側の意思よ」
<0017> 「…学校側の意思よ」

// <0018> 瑚太朗
<0018> 瑚太朗

// <0019> 「？？？」
<0019> 「？？？」

// <0020> 瑚太朗
<0020> 瑚太朗

// <0021> 「会長、無敵の権力があるじゃないですか」
<0021> 「会長、無敵の権力があるじゃないですか」

// <0022> 朱音
<0022> 朱音

// <0023> 「だから要請という形になっているのよ」
<0023> 「だから要請という形になっているのよ」

// <0024> 朱音
<0024> 朱音

// <0025> 「本来ならば廃部になっていてもおかしくはなかった」
<0025> 「本来ならば廃部になっていてもおかしくはなかった」

// <0026> 小鳥
<0026> 小鳥

// <0027> 「だからって…」
<0027> 「だからって…」

// <0028> 朱音
<0028> 朱音

// <0029> 「今回のトラブルはとてもシリアスだわ。下手に抗わない方が利口ね」
<0029> 「今回のトラブルはとてもシリアスだわ。下手に抗わない方が利口ね」

// <0030> 瑚太朗
<0030> 瑚太朗

// <0031> 「もしかして、井上の行方不明と絡んでますか？」
<0031> 「もしかして、井上の行方不明と絡んでますか？」

// <0032> 朱音
<0032> 朱音

// <0033> 「もしかしなくてもそうだわ」
<0033> 「もしかしなくてもそうだわ」

// <0034> 小鳥
<0034> 小鳥

// <0035> 「井上さんって、瑚太朗君の友達の？」
<0035> 「井上さんって、瑚太朗君の友達の？」

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「ああ…」
<0037> 「ああ…」

// <0038> 井上の捜索は依然、行われている。
<0038> 井上の捜索は依然、行われている。

// <0039> ほとんど山狩りのような様相らしい。
<0039> ほとんど山狩りのような様相らしい。

// <0040> 報道やＨＲでも発表されないのは、家族の意向。
<0040> 報道やＨＲでも発表されないのは、家族の意向。

// <0041> それでも耳ざとい生徒たちの間に、噂は絶えなかった。
<0041> それでも耳ざとい生徒たちの間に、噂は絶えなかった。

// <0042> 瑚太朗
<0042> 瑚太朗

// <0043> 「察するところ」
<0043> 「察するところ」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「不謹慎だから活動しないでくれってところですか」
<0045> 「不謹慎だから活動しないでくれってところですか」

// <0046> 朱音
<0046> 朱音

// <0047> 「そういう意味もあるわね」
<0047> 「そういう意味もあるわね」

// <0048> 小鳥
<0048> 小鳥

// <0049> 「ずれてる」
<0049> 「ずれてる」

// <0050> 小鳥
<0050> 小鳥

// <0051> 「そういう問題じゃないと思う」
<0051> 「そういう問題じゃないと思う」

// <0052> 朱音
<0052> 朱音

// <0053> 「大人の世界では、軸がぶれていても理屈は通るものよ」
<0053> 「大人の世界では、軸がぶれていても理屈は通るものよ」

// <0054> 瑚太朗
<0054> 瑚太朗

// <0055> 「大人がずれてるのはいいよ」
<0055> 「大人がずれてるのはいいよ」

// <0056> 瑚太朗
<0056> 瑚太朗

// <0057> 「でも井上は知り合いだから、こんな状況じゃはしゃげないよな…」
<0057> 「でも井上は知り合いだから、こんな状況じゃはしゃげないよな…」

// <0058> 小鳥
<0058> 小鳥

// <0059> 「うん…」
<0059> 「うん…」

// <0060> 瑚太朗
<0060> 瑚太朗

// <0061> 「そうか、もう金曜日なのか」
<0061> 「そうか、もう金曜日なのか」

// <0062> 井上が失踪して５日目を数えた。
<0062> 井上が失踪して５日目を数えた。

// <0063> あの薄暗い森で、ただの女の子が５日も生存できるものだろうか。
<0063> あの薄暗い森で、ただの女の子が５日も生存できるものだろうか。

// <0064> 携帯に登録された井上の番号が、やけに気にかかる。
<0064> 携帯に登録された井上の番号が、やけに気にかかる。

// <0065> 心が青に差し込む。憂鬱の色。
<0065> 心が青に差し込む。憂鬱の色。

// <0066> 朱音
<0066> 朱音

// <0067> 「こうして部室で集まることもやめて欲しいそうよ」
<0067> 「こうして部室で集まることもやめて欲しいそうよ」

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「は…？」
<0069> 「は…？」

// <0070> 瑚太朗
<0070> 瑚太朗

// <0071> 「それ、全部活に対して？」
<0071> 「それ、全部活に対して？」

// <0072> 朱音
<0072> 朱音

// <0073> 「いいえ、うちだけだわ」
<0073> 「いいえ、うちだけだわ」

// <0074> それは事実上、狙い撃ちの活動禁止処分だ。
<0074> それは事実上、狙い撃ちの活動禁止処分だ。

// <0075> 小鳥
<0075> 小鳥

// <0076> 「そんなの…なんかあたしたちが悪いみたいに…」
<0076> 「そんなの…なんかあたしたちが悪いみたいに…」

// <0077> 瑚太朗
<0077> 瑚太朗

// <0078> 「警察に情報提供したの俺なんだけど…？」
<0078> 「警察に情報提供したの俺なんだけど…？」

// <0079> 朱音
<0079> 朱音

// <0080> 「井上という女生徒、おまえへの対抗意識を周囲に広く伝えていたみたいね」
<0080> 「井上という女生徒、おまえへの対抗意識を周囲に広く伝えていたみたいね」

// <0081> 瑚太朗
<0081> 瑚太朗

// <0082> 「だから俺のせいだっての！？」
<0082> 「だから俺のせいだっての！？」

// <0083> 朱音
<0083> 朱音

// <0084> 「そうではないけれど、見せしめとして咎められた、ということでしょうね」
<0084> 「そうではないけれど、見せしめとして咎められた、ということでしょうね」

// <0085> 瑚太朗
<0085> 瑚太朗

// <0086> 「ふざけてる…どっちが不謹慎なんだか」
<0086> 「ふざけてる…どっちが不謹慎なんだか」

// <0087> 瑚太朗
<0087> 瑚太朗

// <0088> 「確かに俺、井上と電話したわ。当日ね。だけどどうして…」
<0088> 「確かに俺、井上と電話したわ。当日ね。だけどどうして…」

// <0089> 瑚太朗
<0089> 瑚太朗

// <0090> 「…俺が止めてりゃ良かったってこと？」
<0090> 「…俺が止めてりゃ良かったってこと？」

// <0091> 瑚太朗
<0091> 瑚太朗

// <0092> 「井上を止めなかった俺の責任だってこと？」
<0092> 「井上を止めなかった俺の責任だってこと？」

// <0093> 朱音
<0093> 朱音

// <0094> 「新聞部では実際にそういう声が挙がっているみたいね」
<0094> 「新聞部では実際にそういう声が挙がっているみたいね」

// <0095> 瑚太朗
<0095> 瑚太朗

// <0096> 「マジですか…」
<0096> 「マジですか…」

// <0097> 小鳥
<0097> 小鳥

// <0098> 「止められたの？」
<0098> 「止められたの？」

// <0099> 瑚太朗
<0099> 瑚太朗

// <0100> 「いや、無理だったろうな。そういう流れじゃなかった」
<0100> 「いや、無理だったろうな。そういう流れじゃなかった」

// <0101> 瑚太朗
<0101> 瑚太朗

// <0102> 「そもそも、取材はあいつの方が長じた分野なんだぞ？　その先駆者が行くってのを制止するって判断自体、あの時点じゃ現実味がねぇよ」
<0102> 「そもそも、取材はあいつの方が長じた分野なんだぞ？　その先駆者が行くってのを制止するって判断自体、あの時点じゃ現実味がねぇよ」

// <0103> 瑚太朗
<0103> 瑚太朗

// <0104> 「そこを問われるなら、新聞部の存在だって問題ありなんじゃねぇの？」
<0104> 「そこを問われるなら、新聞部の存在だって問題ありなんじゃねぇの？」

// <0105> 朱音
<0105> 朱音

// <0106> 「問いただすまでもなく、この出来事は本人のあやまちだわ」
<0106> 「問いただすまでもなく、この出来事は本人のあやまちだわ」

// <0107> 朱音
<0107> 朱音

// <0108> 「けれど責任問題とは、その時その場に居合わせた時点でもう降りかかってくるものよ」
<0108> 「けれど責任問題とは、その時その場に居合わせた時点でもう降りかかってくるものよ」

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「う…わかる…けど…」
<0110> 「う…わかる…けど…」

// <0111> 理解はできるけど…
<0111> 理解はできるけど…

// <0112> いつもみたいに、笑って受け流すことはできなかった。
<0112> いつもみたいに、笑って受け流すことはできなかった。

// <0113> 腹が立つのは、一心不乱に井上の捜索にあたらなきゃいけない時に、処罰対象を論じるという姿勢だ。
<0113> 腹が立つのは、一心不乱に井上の捜索にあたらなきゃいけない時に、処罰対象を論じるという姿勢だ。

// <0114> 静流
<0114> 静流

// <0115> 「きた子」
<0115> 「きた子」

// <0116> ルチア
<0116> ルチア

// <0117> 「連れてこられた子…」
<0117> 「連れてこられた子…」

// <0118> ちはや
<0118> ちはや

// <0119> 「今日も頑張りましょー」
<0119> 「今日も頑張りましょー」

// <0120> ルチア
<0120> ルチア

