// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「これはどうだろう…」
<0001> 「これはどうだろう…」

// <0002> 『近頃、どこからともなく廃棄物が飛来し困っています。周囲には風もなく、建物に囲まれた閑静な道…一体どこからこの物体たちは飛来してくるのでしょうか』
<0002> 『近頃、どこからともなく廃棄物が飛来し困っています。周囲には風もなく、建物に囲まれた閑静な道…一体どこからこの物体たちは飛来してくるのでしょうか』

// <0003> 瑚太朗
<0003> 瑚太朗

// <0004> 「謎の廃棄物…！？」
<0004> 「謎の廃棄物…！？」

// <0005> ご丁寧に画像の地図まで添付してある。
<0005> ご丁寧に画像の地図まで添付してある。

// <0006> 瑚太朗
<0006> 瑚太朗

// <0007> 「よーし、決まりだ！」
<0007> 「よーし、決まりだ！」

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「というわけだ、みんな！！」
<0009> 「というわけだ、みんな！！」

// <0010> 小鳥
<0010> 小鳥

// <0011> 「はーい」
<0011> 「はーい」

// <0012> ちはや
<0012> ちはや

// <0013> 「わーいばーむくーへんですー」
<0013> 「わーいばーむくーへんですー」

// <0014> 静流
<0014> 静流

// <0015> 「怪人…サンマン」
<0015> 「怪人…サンマン」

// <0016> 朱音
<0016> 朱音

// <0017> 「ちっ、今日はＴＯＳＨＩＹＡ氏が不在だわ…スナイパー抜きでやれるかしら」
<0017> 「ちっ、今日はＴＯＳＨＩＹＡ氏が不在だわ…スナイパー抜きでやれるかしら」

// <0018> 瑚太朗
<0018> 瑚太朗

// <0019> 「………」
<0019> 「………」

// <0020> なんというか、会長の自堕落エナジーが全メンバーに伝染しているようだった。
<0020> なんというか、会長の自堕落エナジーが全メンバーに伝染しているようだった。

// <0021> ルチア
<0021> ルチア

// <0022> 「見せてみろ」
<0022> 「見せてみろ」

// <0023> ルチア
<0023> ルチア

// <0024> 「何だ、学校のすぐ近くじゃないか」
<0024> 「何だ、学校のすぐ近くじゃないか」

// <0025> 瑚太朗
<0025> 瑚太朗

// <0026> 「やべえ、一番入るときに乗り気じゃなかったお前が率先してやる気出してくれてるとはっ」
<0026> 「やべえ、一番入るときに乗り気じゃなかったお前が率先してやる気出してくれてるとはっ」

// <0027> ルチア
<0027> ルチア

// <0028> 「…いや、ここは私も気になることがある。ちょうどいい」
<0028> 「…いや、ここは私も気になることがある。ちょうどいい」

// <0029> 静流
<0029> 静流

// <0030> 「………」
<0030> 「………」

// <0031> すっく、と静流も立ち上がる。
<0031> すっく、と静流も立ち上がる。

// <0032> 静流
<0032> 静流

// <0033> 「妖怪サンマンの調査を依頼したい」
<0033> 「妖怪サンマンの調査を依頼したい」

// <0034> スケッチブックを開く。
<0034> スケッチブックを開く。

// <0035> 『妖怪サンマン　すさまじい突進力で時に劣化した漁船の装甲をも貫く。弱点は赤潮。たべるとおいしい』
<0035> 『妖怪サンマン　すさまじい突進力で時に劣化した漁船の装甲をも貫く。弱点は赤潮。たべるとおいしい』

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「それはきっと、陸上にいたらそれだけで死ぬから、ほっといても平気だ」
<0037> 「それはきっと、陸上にいたらそれだけで死ぬから、ほっといても平気だ」

// <0038> 静流
<0038> 静流

// <0039> 「むう…サンマン…」
<0039> 「むう…サンマン…」

// <0040> ちはや
<0040> ちはや

// <0041> 「で、なんです？　廃棄物ってゴミです？」
<0041> 「で、なんです？　廃棄物ってゴミです？」

// <0042> 小鳥
<0042> 小鳥

// <0043> 「どこからともなく飛来…」
<0043> 「どこからともなく飛来…」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「飛来…未確認…飛行物体…」
<0045> 「飛来…未確認…飛行物体…」

// <0046> 瑚太朗
<0046> 瑚太朗

// <0047> 「地球外生命体！？」
<0047> 「地球外生命体！？」

// <0048> ちはや
<0048> ちはや

// <0049> 「すごい発想の飛躍を見た気がしますけどー」
<0049> 「すごい発想の飛躍を見た気がしますけどー」

// <0050> 小鳥
<0050> 小鳥

// <0051> 「とにかく、なんか怪しい感じだね」
<0051> 「とにかく、なんか怪しい感じだね」

// <0052> 瑚太朗
<0052> 瑚太朗

// <0053> 「ああ。これは我々オカ研としては調べる必要がある」
<0053> 「ああ。これは我々オカ研としては調べる必要がある」

// <0054> 瑚太朗
<0054> 瑚太朗

// <0055> 「出動だ！　オカルト研究会っ！！」
<0055> 「出動だ！　オカルト研究会っ！！」

// <0056> 瑚太朗
<0056> 瑚太朗

// <0057> 「………」
<0057> 「………」

// <0058> 静流
<0058> 静流

// <0059> 「………」
<0059> 「………」

// <0060> ついてきたのはサンマンの描かれたスケッチブックを持った静流だけだった。
<0060> ついてきたのはサンマンの描かれたスケッチブックを持った静流だけだった。

// <0061> 瑚太朗
<0061> 瑚太朗

// <0062> 「今の流れ、『おうっ！！』とか言いながら現場に場面切り替わるくらいだと思うんですけど」
<0062> 「今の流れ、『おうっ！！』とか言いながら現場に場面切り替わるくらいだと思うんですけど」

// <0063> ルチア
<0063> ルチア

// <0064> 「お前にリーダーぶられるのは気に食わない」
<0064> 「お前にリーダーぶられるのは気に食わない」

// <0065> ちはや
<0065> ちはや

// <0066> 「バームクーヘンがー」
<0066> 「バームクーヘンがー」

// <0067> 小鳥
<0067> 小鳥

// <0068> 「ちーちゃんを置いていくわけには…」
<0068> 「ちーちゃんを置いていくわけには…」

// <0069> 瑚太朗
<0069> 瑚太朗

// <0070> 「小鳥…友達思いな様だが要はバームクーヘン食いたいだけだろう」
<0070> 「小鳥…友達思いな様だが要はバームクーヘン食いたいだけだろう」

// <0071> 小鳥
<0071> 小鳥

// <0072> 「てへ」
<0072> 「てへ」

// <0073> 朱音
<0073> 朱音

// <0074> 「………」
<0074> 「………」

// <0075> 声＿朱音
<0075> 声＿朱音

// <0076> 『こうして…本日もオカルト研究会たちの活躍で世界が救われた…』
<0076> 『こうして…本日もオカルト研究会たちの活躍で世界が救われた…』

// <0077> 瑚太朗
<0077> 瑚太朗

// <0078> 「〆のナレーション入れんでください」
<0078> 「〆のナレーション入れんでください」

// <0079> 朱音
<0079> 朱音

// <0080> 「ボイスチェンジャーという魔学的な術法よ」
