// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月９日(土)
<0003> １０月９日(土)

// <0004> …朝だ。
<0004> …朝だ。

// <0005> 瑚太朗＿体験版
<0005> 瑚太朗＿体験版

// <0006> （………）
<0006> （………）

// <0007> 俺自身には特に何もなかった、か…。
<0007> 俺自身には特に何もなかった、か…。

// <0008> 疑念だけは残っていて、爽快な目覚めというわけにはいかなかった。
<0008> 疑念だけは残っていて、爽快な目覚めというわけにはいかなかった。

// <0009> 瑚太朗＿体験版
<0009> 瑚太朗＿体験版

// <0010> （ま、何もなかったんだ…）
<0010> （ま、何もなかったんだ…）

// <0011> 気にせず、いつものように登校しよう。
<0011> 気にせず、いつものように登校しよう。

// <0012> 瑚太朗＿体験版
<0012> 瑚太朗＿体験版

// <0013> 「よう鳳。『ナポリを見て死ね』って格言があるけど、ナポリって見ても別に死なないからな」
<0013> 「よう鳳。『ナポリを見て死ね』って格言があるけど、ナポリって見ても別に死なないからな」

// <0014> 鳳＿体験版
<0014> 鳳＿体験版

// <0015> 「当たり前です」
<0015> 「当たり前です」

// <0016> 瑚太朗＿体験版
<0016> 瑚太朗＿体験版

// <0017> 「『ナポリを見たら死ぬ』って格言だったらヤバいところだったぜ…」
<0017> 「『ナポリを見たら死ぬ』って格言だったらヤバいところだったぜ…」

// <0018> 鳳＿体験版
<0018> 鳳＿体験版

// <0019> 「別にその格言でも見ても死なないと思います」
<0019> 「別にその格言でも見ても死なないと思います」

// <0020> 今日の昼は、行き掛けにコンビニで弁当を買っておいた。
<0020> 今日の昼は、行き掛けにコンビニで弁当を買っておいた。

// <0021> たまにはのんびり、教室でランチってのもいいだろう。
<0021> たまにはのんびり、教室でランチってのもいいだろう。

// <0022> 何しろ、学食と違い、移動しなくていい、並ばなくていい。その分、のんびり出来るのが弁当の最大の利点だ。
<0022> 何しろ、学食と違い、移動しなくていい、並ばなくていい。その分、のんびり出来るのが弁当の最大の利点だ。

// <0023> ルチア＿体験版
<0023> ルチア＿体験版

// <0024> 「………」
<0024> 「………」

// <0025> お、今日は委員長も弁当だろうか？
<0025> お、今日は委員長も弁当だろうか？

// <0026> 相変わらずの無愛想な顔でかばんをごそごそ探っている委員長を見つける。
<0026> 相変わらずの無愛想な顔でかばんをごそごそ探っている委員長を見つける。

// <0027> さて、俺はどこで食うか…。
<0027> さて、俺はどこで食うか…。

// <0028> 教室がいいだろう
<0028> 教室がいいだろう

// <0029> 外がいいかな…
<0029> 外がいいかな…

// <0030> 無難にここで食うか。
<0030> 無難にここで食うか。

// <0031> 小鳥＿体験版
<0031> 小鳥＿体験版

// <0032> 「お昼だねぇ！」
<0032> 「お昼だねぇ！」

// <0033> 小鳥＿体験版
<0033> 小鳥＿体験版

// <0034> 「おや、瑚太朗君は今日はお弁当？」
<0034> 「おや、瑚太朗君は今日はお弁当？」

// <0035> 瑚太朗＿体験版
<0035> 瑚太朗＿体験版

// <0036> 「あぁ。本当はそのつもりはなかったんだがな」
<0036> 「あぁ。本当はそのつもりはなかったんだがな」

// <0037> 瑚太朗＿体験版
<0037> 瑚太朗＿体験版

// <0038> 「ちょいと面白そうだったんで弁当を買っちまった」
<0038> 「ちょいと面白そうだったんで弁当を買っちまった」

// <0039> 小鳥＿体験版
<0039> 小鳥＿体験版

// <0040> 「それはいいねぇ。じゃあ一緒にお昼しよー」
<0040> 「それはいいねぇ。じゃあ一緒にお昼しよー」

// <0041> 瑚太朗＿体験版
<0041> 瑚太朗＿体験版

// <0042> 「え、いいん？」
<0042> 「え、いいん？」

// <0043> 小鳥＿体験版
<0043> 小鳥＿体験版

// <0044> 「うん」
<0044> 「うん」

// <0045> …今日はすんなりといったようだ。
<0045> …今日はすんなりといったようだ。

// <0046> 瑚太朗＿体験版
<0046> 瑚太朗＿体験版

// <0047> 「委員長も今日は弁当みたいだな」
<0047> 「委員長も今日は弁当みたいだな」

// <0048> 小鳥＿体験版
<0048> 小鳥＿体験版

// <0049> 「委員長のお弁当、すごいんだよー。しかも自炊なんだって」
<0049> 「委員長のお弁当、すごいんだよー。しかも自炊なんだって」

// <0050> 小鳥＿体験版
<0050> 小鳥＿体験版

// <0051> 「あの人は将来、いいお嫁さんになるね」
<0051> 「あの人は将来、いいお嫁さんになるね」

// <0052> 瑚太朗＿体験版
<0052> 瑚太朗＿体験版

// <0053> 「へー、そうなのか」
<0053> 「へー、そうなのか」

// <0054> 堅物の委員長らしく、まるで弁当を食うという授業であるかのように、背筋を伸ばして模範的に食事をしている。
<0054> 堅物の委員長らしく、まるで弁当を食うという授業であるかのように、背筋を伸ばして模範的に食事をしている。

// <0055> みんな、好き勝手に机を移動させて、気楽にランチしてるってのにな…。
<0055> みんな、好き勝手に机を移動させて、気楽にランチしてるってのにな…。

// <0056> まぁ、当人がそれで楽しいお昼だってんなら、文句は言えないか。
<0056> まぁ、当人がそれで楽しいお昼だってんなら、文句は言えないか。

// <0057> 弁当箱の中身を盗み見る。
<0057> 弁当箱の中身を盗み見る。

// <0058> お……確かに小鳥の言うとおりだ。
<0058> お……確かに小鳥の言うとおりだ。

// <0059> 瑚太朗＿体験版
<0059> 瑚太朗＿体験版

// <0060> 「へぇ、色とりどりのおかずが実にカラフルじゃないか。しかも自炊？」
<0060> 「へぇ、色とりどりのおかずが実にカラフルじゃないか。しかも自炊？」

// <0061> 瑚太朗＿体験版
<0061> 瑚太朗＿体験版

// <0062> 「委員長、すげぇな」
<0062> 「委員長、すげぇな」

// <0063> 小鳥＿体験版
<0063> 小鳥＿体験版

// <0064> 「すげえよねぇ…」
<0064> 「すげえよねぇ…」

// <0065> 小鳥＿体験版
<0065> 小鳥＿体験版

// <0066> 「私んとこにお嫁に来てくれないかねぇ」
<0066> 「私んとこにお嫁に来てくれないかねぇ」

// <0067> 瑚太朗＿体験版
<0067> 瑚太朗＿体験版

// <0068> 「嫁に行く気ゼロかよ」
<0068> 「嫁に行く気ゼロかよ」

// <0069> 小鳥＿体験版
<0069> 小鳥＿体験版

// <0070> 「もらう気満々。にひ～」
<0070> 「もらう気満々。にひ～」

// <0071> 瑚太朗＿体験版
<0071> 瑚太朗＿体験版

// <0072> 「小鳥の弁当はいつも完璧だな」
<0072> 「小鳥の弁当はいつも完璧だな」

// <0073> 瑚太朗＿体験版
<0073> 瑚太朗＿体験版

// <0074> 「マダムらしい、完璧さと融通の利かなさが実によく表れている」
<0074> 「マダムらしい、完璧さと融通の利かなさが実によく表れている」

// <0075> 瑚太朗＿体験版
<0075> 瑚太朗＿体験版

// <0076> 「そのぎゅうぎゅうに詰めて突き刺したミートボールの団子兄弟の窮屈さが、実に素晴らしい」
<0076> 「そのぎゅうぎゅうに詰めて突き刺したミートボールの団子兄弟の窮屈さが、実に素晴らしい」

// <0077> 小鳥＿体験版
<0077> 小鳥＿体験版

// <0078> 「瑚太朗君のお弁当は？」
<0078> 「瑚太朗君のお弁当は？」

// <0079> 小鳥＿体験版
<0079> 小鳥＿体験版

// <0080> 「うわ、真っ赤っか」
<0080> 「うわ、真っ赤っか」

// <0081> そう。俺の弁当は一見すれば、ごく平均的な揚げ物と海苔と明太子の弁当に見えただろう。
<0081> そう。俺の弁当は一見すれば、ごく平均的な揚げ物と海苔と明太子の弁当に見えただろう。

// <0082> しかし、色がおかしい。露骨に真っ赤っか。
<0082> しかし、色がおかしい。露骨に真っ赤っか。

// <0083> 蓋にはこう書いてある。
<0083> 蓋にはこう書いてある。

// <0084> “激辛弁当～地獄巡り～”
<0084> “激辛弁当～地獄巡り～”

// <0085> キャッチコピーがひどい。
<0085> キャッチコピーがひどい。

// <0086> “真の恐怖は、明日になって訪れる。痔を患ってる方にはお奨めできません。”
<0086> “真の恐怖は、明日になって訪れる。痔を患ってる方にはお奨めできません。”

// <0087> 小鳥＿体験版
<0087> 小鳥＿体験版

// <0088> 「何だかデンジャラスなお弁当だねぇ…」
<0088> 「何だかデンジャラスなお弁当だねぇ…」

// <0089> 小鳥＿体験版
<0089> 小鳥＿体験版

// <0090> 「食べるの？　死ぬの？って感じ…？」
<0090> 「食べるの？　死ぬの？って感じ…？」

// <0091> 瑚太朗＿体験版
<0091> 瑚太朗＿体験版

// <0092> 「だろう？」
<0092> 「だろう？」

// <0093> 瑚太朗＿体験版
<0093> 瑚太朗＿体験版

// <0094> 「男というのはな、ぬるま湯のような昼休みに、生き死にのスリルを持ち込まずにはいられぬ悲しい生き物なのだ」
<0094> 「男というのはな、ぬるま湯のような昼休みに、生き死にのスリルを持ち込まずにはいられぬ悲しい生き物なのだ」

// <0095> 小鳥＿体験版
<0095> 小鳥＿体験版

// <0096> 「何か辛いことあったの？」
<0096> 「何か辛いことあったの？」

// <0097> 小鳥＿体験版
<0097> 小鳥＿体験版

// <0098> 「小鳥さんでよければ相談に乗るよ～」
<0098> 「小鳥さんでよければ相談に乗るよ～」

// <0099> 瑚太朗＿体験版
<0099> 瑚太朗＿体験版

// <0100> 「ないない。小鳥にまで相談したくなるほど落ちぶれてない」
<0100> 「ないない。小鳥にまで相談したくなるほど落ちぶれてない」

// <0101> 小鳥＿体験版
<0101> 小鳥＿体験版

// <0102> 「あれま、言うねぇあんさん」
<0102> 「あれま、言うねぇあんさん」

// <0103> もちろん、この弁当は俺が食うために買ったわけではない。
<0103> もちろん、この弁当は俺が食うために買ったわけではない。

// <0104> 実は今朝、シャーペンの芯を切らしているのを思い出し、登校中にコンビニに寄ったのだ。
<0104> 実は今朝、シャーペンの芯を切らしているのを思い出し、登校中にコンビニに寄ったのだ。

// <0105> そしたら、このデンジャラスな激辛弁当を見つけ、迷わず購入してしまったのだ。
<0105> そしたら、このデンジャラスな激辛弁当を見つけ、迷わず購入してしまったのだ。

// <0106> もちろん、俺が食うためじゃない。食わせるためだ。
<0106> もちろん、俺が食うためじゃない。食わせるためだ。

// <0107> 小鳥＿体験版
<0107> 小鳥＿体験版

// <0108> 「あたしゃ食べないよ、そんな真っ赤っかなの」
<0108> 「あたしゃ食べないよ、そんな真っ赤っかなの」

// <0109> 瑚太朗＿体験版
<0109> 瑚太朗＿体験版

// <0110> 「当たり前だろ。お前に何かしたら、俺がマダムに何を言われるか」
<0110> 「当たり前だろ。お前に何かしたら、俺がマダムに何を言われるか」

// <0111> 瑚太朗＿体験版
<0111> 瑚太朗＿体験版

// <0112> 「……そして、何と、これだけではない」
<0112> 「……そして、何と、これだけではない」

// <0113> 小鳥＿体験版
<0113> 小鳥＿体験版

// <0114> 「なぁに、その小瓶。また真っ赤っか」
<0114> 「なぁに、その小瓶。また真っ赤っか」

// <0115> 瑚太朗＿体験版
<0115> 瑚太朗＿体験版

// <0116> 「同じコンビニで売ってた、秘伝の激辛ペッパーソースだ」
<0116> 「同じコンビニで売ってた、秘伝の激辛ペッパーソースだ」

// <0117> 瑚太朗＿体験版
<0117> 瑚太朗＿体験版

// <0118> 「取り扱い注意。湯船に一滴で激辛スープと化す、地獄の調味料だ」
<0118> 「取り扱い注意。湯船に一滴で激辛スープと化す、地獄の調味料だ」

// <0119> 小鳥＿体験版
<0119> 小鳥＿体験版

// <0120> 「入浴剤にしたら痩せそうだねぇ」
<0120> 「入浴剤にしたら痩せそうだねぇ」

// <0121> 瑚太朗＿体験版
<0121> 瑚太朗＿体験版

// <0122> 「うむ。お風呂と食卓のお供にと書いてあるな」
<0122> 「うむ。お風呂と食卓のお供にと書いてあるな」

// <0123> 小鳥＿体験版
<0123> 小鳥＿体験版

// <0124> 「その真っ赤なお弁当も調味料も。どこのコンビニで売ってたの？」
<0124> 「その真っ赤なお弁当も調味料も。どこのコンビニで売ってたの？」

// <0125> 瑚太朗＿体験版
<0125> 瑚太朗＿体験版

// <0126> 「何だ、お前も買いたいのか？」
<0126> 「何だ、お前も買いたいのか？」

// <0127> 小鳥＿体験版
<0127> 小鳥＿体験版

// <0128> 「違う。近寄らないようにする」
<0128> 「違う。近寄らないようにする」

// <0129> だよな。いくら何でも、取り扱い商品が怪しすぎる…。
<0129> だよな。いくら何でも、取り扱い商品が怪しすぎる…。

// <0130> 他の商品も、扱いを間違えれば生死にかかわるのが多かった気がするぞ。
<0130> 他の商品も、扱いを間違えれば生死にかかわるのが多かった気がするぞ。

// <0131> あそこで買ったシャーペンの芯、本当にまともだろうな…？
<0131> あそこで買ったシャーペンの芯、本当にまともだろうな…？

// <0132> 瑚太朗＿体験版
<0132> 瑚太朗＿体験版

// <0133> 「まず、この激辛弁当の中で一番辛そうと思われる、ハラペーニョ・ポッパーを取り出す」
<0133> 「まず、この激辛弁当の中で一番辛そうと思われる、ハラペーニョ・ポッパーを取り出す」

// <0134> 小鳥＿体験版
<0134> 小鳥＿体験版

// <0135> 「取り出したねぇ。……私のお弁当箱に置いたらグーパンチで怒るよ」
<0135> 「取り出したねぇ。……私のお弁当箱に置いたらグーパンチで怒るよ」

// <0136> 瑚太朗＿体験版
<0136> 瑚太朗＿体験版

// <0137> 「ハラペーニョ・ポッパーは、ハラペーニョの揚げ物みたいなもんだ」
<0137> 「ハラペーニョ・ポッパーは、ハラペーニョの揚げ物みたいなもんだ」

// <0138> 瑚太朗＿体験版
<0138> 瑚太朗＿体験版

// <0139> 「中にチーズを詰めて揚げると大層うまいらしい」
<0139> 「中にチーズを詰めて揚げると大層うまいらしい」

// <0140> 瑚太朗＿体験版
<0140> 瑚太朗＿体験版

// <0141> 「しかしこいつは空っぽ、中身は空洞。そこがミソだ」
<0141> 「しかしこいつは空っぽ、中身は空洞。そこがミソだ」

// <0142> 小鳥＿体験版
<0142> 小鳥＿体験版

// <0143> 「ミソを詰めるの？　和風だー」
<0143> 「ミソを詰めるの？　和風だー」

// <0144> 瑚太朗＿体験版
<0144> 瑚太朗＿体験版

